---
season: 2021-22
division: d2
gender: women
description: schedule/scoreboard from conference websites
updated: 2022-01-21
past: 83 (9%)
today: 1 (0%)
future: 779 (88%)
completed: 82 (98%)
postponed: 1 (1%)
unreported: 1 (1%)
total: 882
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
G-MAC	 35420	2021-09-25	 3:00pm	W		BRESC	at		KWC  	L	3-4	 	 	naia/d2		2021-09-25T19:00Z		  	3:00 P.M. 	Owensboro, KY                       				
 GLVC	132819	2021-09-26	 2:00pm	W		WEBST	at		TRU  	L	1-8	 	 	d3/d2  		2021-09-26T18:00Z		CT	1:00 P.M. 	Kirksville, MO                      				
G-MAC	 36191	2021-09-27	 2:00pm	W		TU   	at		GOSH 	W	7-0	 	 	d2/naia		2021-09-27T18:00Z		  	2:00 P.M. 	Goshen, IN                          				[Box Score](https://static.greatmidwestsports.com/custompages/Stats/2021-22/wten21-22/tuw-gos.htm)
 PSAC	112109	2021-09-27	 4:00pm	W		CUP  	at		STVIN	W	7-2	 	 	d2/d3  		2021-09-27T20:00Z		ET	4:00 P.M. 	Latrobe, PA                         				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmxdLJOv%2fjRrK5ASrfF4FjowrVK2NYKbK3NP8MLzOoYJcpy4mCQ25p1ixYQkIcUswOwuL8ypVvKQghS41pd7xt0&path=wten)
 PSAC	112125	2021-09-27	 4:30pm	W		GROVE	at		CLARN	W	5-2	 	 	d3/d2  		2021-09-27T20:30Z		ET	4:30 P.M. 	Clarion, PA                         				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgnQvn%2fToc3geOwpg6p%2ffJFhByJxHHQNg%2fZpiwZvHYdQig1b04%2bUD6PfKA12lY3axlyzXuTeJD2UapAr3k7y0nZxbzV3uk5dMue3RpkvSUmYsQ%3d%3d&path=wten)
G-MAC	 35707	2021-09-28	 4:00pm	W		WVSU 	at		CED  	W	6-1	 	 	d2     		2021-09-28T20:00Z		  	4:00 P.M. 	Cedarville, OH                      				[Box Score](https://static.greatmidwestsports.com/custompages/Stats/2021-22/wten21-22/match-03.htm)
G-MAC	 35726	2021-09-29	 1:00pm	W		WAL  	at		OBRL 	W	7-2	 	 	d2/d3  		2021-09-29T17:00Z		  	1:00 P.M. 	Oberlin, OH                         				[Box Score](https://static.greatmidwestsports.com/custompages/Stats/2021-22/wten21-22/obew0929.htm)
 PSAC	112201	2021-09-29	 4:00pm	W		LHU  	at		SUSQ 	L	4-5	 	 	d2/d3  		2021-09-29T20:00Z		ET	4:00 P.M. 	Selinsgrove, PA                     				[Video](https://landmarknetwork.tv/susquehanna/) [Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmlniS0rjvV7Rw%2b8vNJZeW7y1qd3HdpVxZRdPChBm514tvu0jD%2bMHTc0pgKob4%2ffkYmcpqeEOMNAAmejmYwPrtK&path=wten)
 GLVC	132713	2021-09-30	 3:00pm	W		MOVAL	at		QU   	L	3-4	 	 	naia/d2		2021-09-30T19:00Z		CT	2:00 P.M. 	Quincy, IL                          				
 GLVC	132650	2021-10-02	 6:00pm	W		MOVAL	at		MCK  	L	1-6	 	 	naia/d2		2021-10-02T22:00Z		CT	5:00 P.M. 	Belleville, IL                      				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglH1EswhySf1XVk1eDUSCPLBX2mtUPOtCBqW6rUTe2AsQ%2fh1AL8NmZCXs0qTKC3VIktHR9799Eot%2fs0YC6GMhoXFpFLk6G7OvshKfqGraH%2f7w%3d%3d&path=wten)
