---
season: 2021-22
division: d1
gender: women
description: schedule/scoreboard from team websites
updated: 2022-01-21
past: 189 (4%)
today: 48 (1%)
future: 3671 (77%)
completed: 161 (68%)
postponed: 14 (6%)
cancelled: 13 (5%)
unreported: 49 (21%)
total: 4784
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
 BING	 13215	2021-10-23	6:00pm 	W	  	BING 	at	  	BUFF 	L	0-7	 	 	d1     		2021-10-23T22:00Z		   	6 p.m.	Buffalo, NY				[Recap](/news/2021/10/24/womens-tennis-womens-tennis-drops-pair-of-matches.aspx)
 MTST	  6052	2021-10-29	       	W	  	MTST 	at	  	WYO  	L	2-5	 	 	d1     		                 		   		Casper, WY				[Recap](/news/2021/11/1/womens-tennis-wyoming-get-by-cats-in-casper.aspx)
  WYO	  5494	2021-10-29	8:00pm 	W	  	MTST 	at	  	WYO  	L	2-5	 	 	d1     		2021-10-30T00:00Z		   	6 p.m.	Casper, WY	307 Tennis Club			[Recap](/news/2021/10/29/womens-tennis-cowgirls-down-montana-state-at-outreach-dual.aspx) [Results (.pdf)](/documents/2021/10/29/Wyo_vs_MSU.pdf)
 NJIT	  8197	2021-11-05	9:00am 	W	  	SELU 	at	  	NJIT 	L	0-7	 	 	d1     		2021-11-05T13:00Z	Fall Schedule	   	9:00 AM	Newark, NJ	[The Naimoli Family Athletic and Recreational Facility](/facilities/?id=131)			[Recap](/news/2021/11/5/womens-tennis-sweeps-home-matches-against-southeastern-louisiana-delaware.aspx)
  DEL	 29363	2021-11-05	1:30pm 	W	  	DEL  	vs	  	SELU 	W	6-1	N	 	d1     		2021-11-05T17:30Z		   	1:30 p.m.	Newark, NJ				[Recap](/news/2021/11/5/womens-tennis-blue-hens-split-a-pair-of-matches-friday.aspx) [Box Score](/documents/2021/12/8/SELA_Box_Score.pdf)
 NJIT	  8198	2021-11-05	5:00pm 	W	  	DEL  	at	  	NJIT 	L	1-6	 	 	d1     		2021-11-05T21:00Z	Fall Schedule	   	5:00 PM	Newark, NJ	[The Naimoli Family Athletic and Recreational Facility](/facilities/?id=131)			[Recap](/news/2021/11/5/womens-tennis-sweeps-home-matches-against-southeastern-louisiana-delaware.aspx)
  DEL	 29342	2021-11-05	5:00pm 	W	  	DEL  	at	  	NJIT 	L	1-6	 	 	d1     		2021-11-05T21:00Z		   	5 p.m.	Newark, NJ				[Recap](/news/2021/11/5/womens-tennis-blue-hens-split-a-pair-of-matches-friday.aspx) [Box Score](/documents/2021/12/8/NJIT_Box_Score.pdf)
 TENN	 22465	2022-01-07	11:00am	W	22	TENN 	at	 3	UNC  	 	   	 	 	d1     		2022-01-07T16:00Z	Tar Heel Invitational	   	11 AM	Chapel Hill, NC				[Recap](/news/2022/1/7/womens-tennis-doubles-shine-as-lady-vols-wrap-up-day-one-of-tar-heel-invitational.aspx) [Stream](https://web.playsight.com/live/university-of-north-carolina-unc-usa/104) [Live Stats](http://www.statbroadcast.com/events/statbroadcast.php?t=1&gid=unc)
 TENN	 23557	2022-01-09	11:00am	W	22	TENN 	at	 3	UNC  	 	   	 	 	d1     		2022-01-09T16:00Z	Tar Heel Invitational	   	11 AM	Chapel Hill, NC				[Recap](/news/2022/1/9/womens-tennis-lady-vols-close-tar-heel-invitational-with-seven-wins-highlighted-by-top-20-victory.aspx) [Stream](https://web.playsight.com/live/university-of-north-carolina-unc-usa/104) [Live Stats](http://www.statbroadcast.com/events/statbroadcast.php?t=1&gid=unc)
   UK	  9460	2022-01-14	9:00am 	W	  	ETSU 	at	  	UK   	L	3-4	 	 	d1     		2022-01-14T14:00Z	Doubleheader	   	9 a.m.	Lexington, KY	[Hilary J. Boone Tennis Complex](/facilities/?id=129)			[Recap](/news/2022/1/14/womens-tennis-kentucky-womens-tennis-defeats-etsu-in-fridays-doubleheader.aspx) [Box Score](/documents/2022/1/14/UK_vs_ETSU_Match_1.pdf)
  TOL	 21297	2022-01-14	10:00am	W	  	FGCU 	vs	  	TOL  	W	5-2	N	 	d1     		2022-01-14T15:00Z	FGCU Weekend Kickoff	   	10:00 a.m.	Fort Myers, FL				[Box Score](/sports/womens-tennis/stats/2021-22/fgcu/boxscore/21297) [Recap](/news/2022/1/14/womens-tennis-toledo-falls-to-fgcu-in-season-opener.aspx)
 FGCU	 10676	2022-01-14	10:00am	W	  	TOL  	at	  	FGCU 	L	2-5	 	 	d1     		2022-01-14T15:00Z		   	10 AM	Fort Myers, FL	[FGCU Tennis Complex](/facilities/?id=6)			[Box Score](/sports/womens-tennis/stats/2021-22/toledo/boxscore/10676) [Recap](/news/2022/1/14/womens-tennis-takes-down-toledo-in-spring-season-opener.aspx)
 KENN	  9544	2022-01-14	12:00pm	W	  	KENN 	at	  	WOF  	W	5-2	 	 	d1     		2022-01-14T17:00Z		   	12 PM	Spartanburg, SC				[Recap](/news/2022/1/14/womens-tennis-ksu-secures-first-season-opener-since-2011.aspx)
  WOF	  8693	2022-01-14	12:00pm	W	  	KENN 	at	  	WOF  	W	5-2	 	 	d1     		2022-01-14T17:00Z		   	12:00 PM	Spartanburg, SC	[Reeves Tennis Center](/facilities/?id=5)			[Box Score](/sports/womens-tennis/stats/2021-22/kennesaw-state-university/boxscore/8693) [Recap](/news/2022/1/14/womens-tennis-womens-tennis-opens-season-against-ksu.aspx)
   UK	  9492	2022-01-14	2:30pm 	W	  	ETSU 	at	  	UK   	L	3-4	 	 	d1     		2022-01-14T19:30Z	Doubleheader	   	2:30 p.m.	Lexington, KY	[Hilary J. Boone Tennis Complex](/facilities/?id=129)			[Recap](/news/2022/1/14/womens-tennis-kentucky-womens-tennis-defeats-etsu-in-fridays-doubleheader.aspx) [Box Score](/documents/2022/1/14/UK_vs_ETSU_Match_2.pdf)
  MEM	 17904	2022-01-14	3:30pm 	W	  	UNA  	at	  	MEM  	L	0-7	 	 	d1     		2022-01-14T20:30Z		   	2:30 PM	Memphis, TN	Eldon Roark TC			[Recap](/news/2022/1/17/womens-tennis-tigers-start-season-with-3-0-weekend.aspx)
  UNA	  3646	2022-01-14	3:30pm 	W	  	UNA  	at	  	MEM  	L	0-7	 	 	d1     		2022-01-14T20:30Z		   	2:30 PM	Memphis, TN				[Box Score](/sports/womens-tennis/stats/2021-22/memphis/boxscore/3646) [Recap](/news/2022/1/18/womens-tennis-womens-tennis-drops-season-opener-at-memphis.aspx)
  NEV	 10768	2022-01-14	5:00pm 	W	  	NEV  	at	  	BIOLA	W	5-2	 	 	d1/d2  		2022-01-14T22:00Z		   	2 P.M.	Los Angeles, CA				[Box Score](/sports/womens-tennis/stats/2021-22/biola-university-calif-/boxscore/10768) [Recap](/news/2022/1/14/womens-tennis-pack-opens-season-with-win-at-biola.aspx)
  SJU	 13346	2022-01-14	5:00pm 	W	  	SJU  	at	  	PSU  	C	   	 	 	d1     		2022-01-14T22:00Z		   	5 p.m.	University Park, PA				
  PSU	 15808	2022-01-14	5:00pm 	W	  	SJU  	at	  	PSU  	C	   	 	 	d1     		2022-01-14T22:00Z		   	5:00 PM	University Park, PA				
  XAV	  9474	2022-01-14	6:00pm 	W	  	NKU  	at	  	XAV  	L	1-6	 	 	d1     		2022-01-14T23:00Z		   	6 PM	Cincinnati, OH	[Eastern Hills Indoor Tennis Club](http://ehitennis.com/)			[Box Score](/sports/womens-tennis/stats/2021-22/northern-kentucky/boxscore/9474) [Recap](/news/2022/1/14/womens-tennis-opens-2022-with-6-1-win-over-nku.aspx) [Results](/documents/2022/1/14/XUW01.pdf)
  UNA	  3805	2022-01-14	6:30pm 	W	  	UNA  	at	  	MEM  	L	0-7	 	 	d1     		2022-01-14T23:30Z		   	5:30 PM	Memphis, TN				[Box Score](/sports/womens-tennis/stats/2021-22/memphis/boxscore/3805) [Recap](/news/2022/1/18/womens-tennis-womens-tennis-drops-season-opener-at-memphis.aspx)
  MEM	 17926	2022-01-14	7:00pm 	W	  	UNA  	at	  	MEM  	L	0-7	 	 	d1     		2022-01-15T00:00Z		   	6:00 p.m.	Memphis, TN	Eldon Roark TC			[Recap](/news/2022/1/17/womens-tennis-tigers-start-season-with-3-0-weekend.aspx)
  HAW	 27022	2022-01-14	7:30pm 	W	  	KSU  	at	  	HAW  	C	   	 	 	d1     		2022-01-15T00:30Z		   	2:30 p.m.	Honolulu, O‘ahu	UH Tennis Complex			
  UNC	 23241	2022-01-15	11:00am	W	  	ELON 	at	 3	UNC  	L	0-7	 	 	d1     		2022-01-15T16:00Z		   	11 AM	Chapel Hill				[Recap](/news/2022/1/15/-3-womens-tennis-sweep-elon-app-state.aspx)
 ELON	  7588	2022-01-15	11:00am	W	  	ELON 	at	 3	UNC  	L	0-7	 	 	d1     		2022-01-15T16:00Z		   	11:00 a.m.	Chapel Hill, NC				[Box Score](/sports/womens-tennis/stats/2021-22/north-carolina/boxscore/7588) [Recap](/news/2022/1/15/womens-tennis-falls-to-no-3-north-carolina-in-season-opener.aspx)
  UNC	 23243	2022-01-15	3:30pm 	W	  	APP  	at	 3	UNC  	L	0-7	 	 	d1     		2022-01-15T20:30Z		   	3:30 PM	Chapel Hill				[Recap](/news/2022/1/15/-3-womens-tennis-sweep-elon-app-state.aspx)
 MRSH	  8321	2022-01-15	10:00am	W	  	MRSH 	at	 7	UVA  	L	0-7	 	 	d1     		2022-01-15T15:00Z		   	10:00 AM	Charlottesville, VA				[Recap](/news/2022/1/15/womens-tennis-herd-tennis-splits-pair-of-duals-in-virginia.aspx) [Box Score](/documents/2022/1/15/vaw0115a.pdf)
   LU	  7950	2022-01-15	4:00pm 	W	  	LU   	at	 7	UVA  	L	0-7	 	 	d1     		2022-01-15T21:00Z		   	4 p.m.	Charlottesville, VA				[Box Score](/sports/womens-tennis/stats/2021-22/university-of-virginia/boxscore/7950) [Recap](/news/2022/1/15/longwood-womens-tennis-opens-season-against-7-virginia-marshall.aspx)
  BAY	 27628	2022-01-15	3:00pm 	W	11	BAY  	vs	  	BYU  	L	3-4	N	 	d1     		2022-01-15T20:00Z	Bella the Ball Collegiate Invitational	   	2 PM	Las Vegas, NV	Darling Tennis Center			[Box Score](/sports/womens-tennis/stats/2021-22/byu/boxscore/27628) [Recap](/news/2022/1/15/womens-tennis-no-11-wt-falls-to-byu-in-season-opener.aspx)
 PRIN	 17733	2022-01-15	11:00am	W	23	PRIN 	at	  	FIU  	 	   	 	 	d1     		2022-01-15T16:00Z		   	11:00 AM	Miami, FL				
ABCHR	  8411	2022-01-15	       	W	  	ABCHR	at	  	TCU  	L	0-4	 	 	d1     		                 		   		Fort Worth, TX				[Box Score](/sports/womens-tennis/stats/2021-22/tcu/boxscore/8411) [Recap](/news/2022/1/15/womens-tennis-stewart-impresses-on-first-day-of-season-for-acu.aspx)
ABCHR	  8412	2022-01-15	       	W	  	ABCHR	vs	  	UNT  	L	0-4	N	 	d1     		                 		   		Fort Worth, TX				[Box Score](/sports/womens-tennis/stats/2021-22/north-texas/boxscore/8412) [Recap](/news/2022/1/15/womens-tennis-stewart-impresses-on-first-day-of-season-for-acu.aspx)
 JVST	  6498	2022-01-15	TBA    	W	  	JVST 	at	  	MSST 	L	0-7	 	 	d1     		                 		   		Starkville, MS				[Box Score](/sports/womens-tennis/stats/2021-22/mississippi-state/boxscore/6498) [Recap](/news/2022/1/15/womens-tennis-falls-at-mississippi-state.aspx) [Box Score (PDF)](/documents/2022/1/15/JSU_vs_Mississippi_State.pdf)
 MTST	  6054	2022-01-15	       	W	  	MTST 	vs	  	TULSA	L	0-7	N	 	d1     		                 		   		Tulsa. OK				[Box Score](/sports/womens-tennis/stats/2021-22/tulsa/boxscore/6054) [Recap](/news/2022/1/15/womens-tennis-bobcats-split-matches-at-hurricane-invitational.aspx)
  WYO	  5495	2022-01-15	All Day	W	  	MTST 	vs	  	WYO  	W	4-3	N	 	d1     		                 		   		Tulsa, OK				[Recap](/news/2022/1/16/womens-tennis-cowgirls-finish-competition-in-tulsa.aspx) [Results (.pdf)](/documents/2022/1/16/MSU_4_Wyoming_3.pdf)
  UCR	 13337	2022-01-15	       	W	  	NEV  	at	  	UCR  	W	7-0	 	 	d1     		                 		   		Riverside, CA	[SRC Tennis Courts](/facilities/?id=34)			[Box Score](/sports/womens-tennis/stats/2021-22/nevada/boxscore/13337) [Recap](/news/2022/1/15/womens-tennis-highlanders-drop-home-match-to-nevada.aspx)
 FGCU	 10677	2022-01-15	8:00am 	W	  	GAST 	at	  	FGCU 	L	2-4	 	 	d1     		2022-01-15T13:00Z		   	8 AM	Fort Myers, FL	[FGCU Tennis Complex](/facilities/?id=6)			[Box Score](/sports/womens-tennis/stats/2021-22/georgia-state/boxscore/10677) [Recap](/news/2022/1/15/womens-tennis-rolls-past-georgia-state-falls-to-minnesota.aspx)
 GAST	  8208	2022-01-15	8:00am 	W	  	GAST 	at	  	FGCU 	L	2-4	 	 	d1     		2022-01-15T13:00Z		   	8:00 AM	Fort Myers, FL				[Box Score](/sports/womens-tennis/stats/2021-22/florida-gulf-coast/boxscore/8208) [Recap](/news/2022/1/18/womens-tennis-womens-tennis-wraps-up-saturday-doubleheader-in-florida.aspx)
 MINN	 19435	2022-01-15	8:00am 	W	  	LIB  	vs	  	MINN 	L	1-6	N	 	d1     		2022-01-15T13:00Z	Florida Gulf Coast Hidden Dual	   	7:00 AM	Fort Myers, FL				[Box Score](/sports/womens-tennis/stats/2021-22/liberty-university/boxscore/19435) [Recap](/news/2022/1/15/womens-tennis-minnesota-starts-fgcu-hidden-dual-tournament-2-0.aspx)
