---
season: d3
gender: women
description: schedule/scoreboard from team websites
updated: 2022-01-21
past: 398 (52%)
future: 362 (48%)
completed: 306 (77%)
unreported: 92 (23%)
total: 760
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	teamId	opponentId	dualId
ITA	30189	2021-09-07	 2:00pm	W		RWIL 	at		SSU  	 	   	 	 	d3     	2021-09-07T18:00Z			79827df3-db1d-4c0f-9513-1bc5e2c88a0c
ITA	23446	2021-09-07	 4:00pm	W		RICOL	at		REGIS	W	9-0	 	 	d3     	2021-09-07T20:00Z			43e3dd8b-9b92-47c6-93c9-2595b9528bb4
ITA	72648	2021-09-07	 5:00pm	W		WIOSH	at		LWRNC	L	4-5	 	 	d3     	2021-09-07T21:00Z			a7b1a454-5d93-462a-a055-c8854067afc7
ITA	15408	2021-09-07	12:00pm	W		RIT  	at		DAEMN	L	3-4	 	 	d3/d2  	2021-09-07T16:00Z			2fe6b4c0-627b-48f0-b078-fc9a5e3b8dbf
ITA	15192	2021-09-07	 4:00pm	W		OTTER	at		MTVRN	W	7-0	 	 	d3/naia	2021-09-07T20:00Z			af3c8c61-9e1b-4a3e-9fdf-2ae372e3a2c6
ITA	46042	2021-09-07	 5:00pm	W		VISTA	at		GVIEW	L	2-5	 	 	d3/naia	2021-09-07T21:00Z			1857f097-7743-4529-b1ce-b63ede2e48c6
ITA	57076	2021-09-07	 7:00pm	W		DEPW 	at		IWES 	L	0-7	 	 	d3/naia	2021-09-07T23:00Z			cfaa165e-c8a1-4089-b5a7-b8da2c05d12a
ITA	14737	2021-09-08	12:00pm	W		SSU  	at		SIMM 	 	   	 	 	d3     	2021-09-08T16:00Z			3a824464-eda1-4f2e-94df-78979ffec8c5
ITA	97571	2021-09-08	 3:30pm	W		NCENT	at		ILWES	W	9-0	 	C	d3     	2021-09-08T19:30Z			a85b2a12-1343-47d3-bb0a-f4d11a57f0e7
ITA	88577	2021-09-08	 5:00pm	W		NPARK	at		CARTH	L	2-7	 	C	d3     	2021-09-08T21:00Z			f623930f-e8ca-45f0-a58c-af990fb48c6c
ITA	97469	2021-09-08	 5:00pm	W		WHEAT	at		ELMH 	W	9-0	 	C	d3     	2021-09-08T21:00Z			bcaa1a83-d42a-49f3-9998-04c776165006
ITA	40555	2021-09-08	 4:00pm	W		ALGNY	at		EDIN 	L	2-5	 	 	d3/d2  	2021-09-08T20:00Z			db9a96ec-8620-4d2b-be1a-cf1c9edcffbe
ITA	 1352	2021-09-09	 2:00pm	W		THOM 	at		HUSS 	 	   	 	 	d3     	2021-09-09T18:00Z			43a986f0-87c7-4114-8e5f-1d3729bc5e72
ITA	35425	2021-09-09	 3:30pm	W		THOM 	at		HUSS 	 	   	 	C	d3     	2021-09-09T19:30Z			d9b2642e-8ef2-4d95-b816-875572aca547
ITA	41883	2021-09-09	 5:00pm	W		RIPON	at		MSOE 	W	5-4	 	 	d3     	2021-09-09T21:00Z			bdecec49-e6b4-4297-a8cf-6e098dd4500d
ITA	41248	2021-09-09	 4:00pm	W		MANC 	at		HUNTU	L	0-7	 	 	d3/naia	2021-09-09T20:00Z			20859d73-78aa-459b-b14c-ea65f95ad728
ITA	21693	2021-09-09	 6:00pm	W		STMRY	at		NEWES	W	5-3	 	 	naia/d3	2021-09-09T22:00Z			7ef47a49-45e3-4f10-aadc-e6583ceb8faa
ITA	77210	2021-09-10	 3:30pm	W		WMA  	at		NIC  	L	1-8	 	 	d3     	2021-09-10T19:30Z			59d198dd-2368-4d99-ac86-2fa5cc592d54
ITA	43976	2021-09-10	 5:00pm	W		NPARK	at		AUGIL	 	   	 	C	d3     	2021-09-10T21:00Z			f8dae992-3dda-4694-b604-2c28e8799112
ITA	 9737	2021-09-10	 6:00pm	W		MILIK	at		ROSHL	W	8-0	 	 	d3     	2021-09-10T22:00Z			d1967bc4-b349-473f-88b2-1d8667631dcb
ITA	79590	2021-09-11	10:00am	W		WEBST	at		GVILL	 	   	 	 	d3     	2021-09-11T14:00Z			80d9688f-3e80-462f-b9b3-79bec1333fe8
ITA	81732	2021-09-11	11:00am	W		ILWES	at		AUGIL	L	1-8	 	C	d3     	2021-09-11T15:00Z			0cb660dd-fd9d-42b5-9124-b1d84f0b5d98
ITA	96773	2021-09-11	11:00am	W		EMERS	at		CLBS 	W	5-4	 	 	d3     	2021-09-11T15:00Z			313bb2a7-2860-431c-9e42-a1ca71e5079e
ITA	33440	2021-09-11	11:00am	W		WOOST	at		OTTER	L	3-6	 	 	d3     	2021-09-11T15:00Z			1e7aa59a-d8cc-42fb-acc1-fefe1a448439
ITA	82757	2021-09-11	11:00am	W		FRANK	at		TRANS	L	0-9	 	C	d3     	2021-09-11T15:00Z			3454f4d1-b802-467a-9ecc-4640379b4f83
ITA	58629	2021-09-11	12:00pm	W		REGIS	at		ENAZ 	W	9-0	 	C	d3     	2021-09-11T16:00Z			591ba2a9-c8f0-4e85-b517-640e936183d2
ITA	49084	2021-09-11	12:00pm	W		LWRNC	at		WISSP	L	0-9	 	 	d3     	2021-09-11T16:00Z			c6fc219f-d354-413c-9246-b8c8e523fe78
ITA	45602	2021-09-11	12:00pm	W		RIPON	vs		SUPER	L	2-7	N	 	d3     	2021-09-11T16:00Z			7e1c3602-b1ef-460e-899c-ac9396128917
ITA	98171	2021-09-11	 1:00pm	W		LESLY	at		CLBS 	L	0-9	 	C	d3     	2021-09-11T17:00Z			1d7b27f1-d109-41c3-a551-121bd2cd600e
ITA	32887	2021-09-11	 1:00pm	W		GRINN	vs		ILWES	W	9-0	N	 	d3     	2021-09-11T17:00Z			841f2613-9a2a-4ac7-8d04-0b5f690455f4
ITA	46977	2021-09-11	 2:00pm	W		DUBQ 	at		COE  	L	0-9	 	C	d3     	2021-09-11T18:00Z			f44ded93-99e1-4f25-a141-8b0cdcabe864
ITA	55351	2021-09-11	 2:00pm	W		HUSS 	vs		THOM 	 	   	N	C	d3     	2021-09-11T18:00Z			ed7b0aa0-f2d3-4976-87ba-9260669fa676
ITA	 1777	2021-09-11	 2:00pm	W		PLYM 	at		SSU  	W	6-3	 	C	d3     	2021-09-11T18:00Z			afc0bb75-d000-4963-870a-3478fb9b641e
ITA	 9480	2021-09-11	 3:30pm	W		RIPON	at		WISSP	L	2-7	 	 	d3     	2021-09-11T19:30Z			11dbf2d3-1e9d-420b-9b1a-a2919da5dc55
ITA	64097	2021-09-11	 5:00pm	W		GRINN	at		AUGIL	W	8-1	 	 	d3     	2021-09-11T21:00Z			3ee721d3-1bdd-4a62-817a-e97310a1a28b
ITA	 8304	2021-09-11	 5:00pm	W		HAML 	at		WARTB	L	0-9	 	 	d3     	2021-09-11T21:00Z			47cacc3f-9f47-4bc9-94b5-ed695ed2a876
ITA	 9712	2021-09-11	10:02pm	W		ANDIN	vs		WEBST	 	   	N	 	d3     	2021-09-12T02:02Z			974aaf47-a702-4dcf-80d9-ffd2846e0ccf
ITA	59352	2021-09-11	 1:00am	W		DYOU 	at		LOC  	 	   	 	 	d3/d2  	2021-09-11T05:00Z			06f1a929-9fff-4a94-ab89-6e5679ebf62b
ITA	66124	2021-09-11	 2:30pm	W		CRNLC	at		STAMB	L	1-6	 	 	d3/naia	2021-09-11T18:30Z			9031bfca-e835-4c02-98bb-551b2b6ab91f
ITA	18021	2021-09-11	10:30am	W		GVIEW	at		WARTB	L	4-5	 	 	naia/d3	2021-09-11T14:30Z			b98d629d-33b0-47f1-a6ab-e16c1a6b870c
ITA	72847	2021-09-11	 2:00pm	W		GVIEW	vs		HAML 	W	9-0	N	 	naia/d3	2021-09-11T18:00Z			a6bbfae4-3480-4671-868b-317da57ac133
ITA	57218	2021-09-12	12:00pm	W		DAY  	at		WITT 	W	7-0	 	 	d1/d3  	2021-09-12T16:00Z			b602860c-5868-4250-ba3a-85f78160cca0
ITA	70365	2021-09-12	11:00am	W		LAKEF	at		WIWHI	L	1-8	 	 	d3     	2021-09-12T15:00Z			39ce1894-a9dd-45b3-9d2b-5b6789a7037c
ITA	33506	2021-09-12	 1:00pm	W		GUILF	at		EMHEN	 	   	 	 	d3     	2021-09-12T17:00Z			f306a26c-2ba2-4862-8477-048b304ea384
ITA	35519	2021-09-12	 2:00pm	W		HUSS 	at		SOUME	 	   	 	 	d3     	2021-09-12T18:00Z			4c900d85-ed0e-4aaa-be41-39bf0c33f316
ITA	 6044	2021-09-12	 3:00pm	W		WISRF	at		WIWHI	L	0-9	 	C	d3     	2021-09-12T19:00Z			e26f44d4-a790-4df1-8df5-c428eea1a303
ITA	83141	2021-09-13	 4:00pm	W		SMITH	at		NIC  	W	5-4	 	 	d3     	2021-09-13T20:00Z			8bb50901-24a3-4856-8183-2257bda82536
ITA	63463	2021-09-13	 4:00pm	W		SALVE	at		RICOL	 	   	 	 	d3     	2021-09-13T20:00Z			a1dfdc16-d4b7-4d4e-acc9-31365f954b1b
ITA	26887	2021-09-14	 4:00pm	W		SSU  	at		REGIS	L	2-7	 	 	d3     	2021-09-14T20:00Z			de36663a-ee8f-4796-a4b4-a4f56056c9c8
ITA	58788	2021-09-14	 5:00pm	W		LORAS	at		LUTHR	L	0-9	 	C	d3     	2021-09-14T21:00Z			7f7e5b30-6ab1-4961-af17-f5a7a94e0837
ITA	96244	2021-09-14	 5:00pm	W		DUBQ 	at		LUTHR	L	0-9	 	C	d3     	2021-09-14T21:00Z			a2385632-fa38-4653-8bde-a567d7700bb8
ITA	45282	2021-09-14	 5:00pm	W		NCENT	at		WHEAT	W	8-1	 	C	d3     	2021-09-14T21:00Z			4137bc3a-89a6-441b-a13c-1344d37c8b6b
ITA	63727	2021-09-14	 6:00pm	W		BARUC	at		FARM 	W	6-3	 	 	d3     	2021-09-14T22:00Z			03d85063-ecd1-4454-b4ba-1342ee655fe2
ITA	22044	2021-09-14	12:00pm	W		ALGNY	at		DAEMN	L	2-5	 	 	d3/d2  	2021-09-14T16:00Z			c6a18556-c331-4f63-ba99-e4546e91712d
ITA	96496	2021-09-15	 4:00am	W		NIC  	at		GORD 	W	9-0	 	C	d3     	2021-09-15T08:00Z			08652255-fe68-499e-b5db-b0b39a477ce9
ITA	67120	2021-09-15	 3:00pm	W		WNE  	at		ENDCT	L	3-6	 	C	d3     	2021-09-15T19:00Z			255bbf7a-c261-43f3-86a5-74f54ac537f9
ITA	79157	2021-09-15	 3:00pm	W		NJCU 	at		FDUF 	W	9-0	 	 	d3     	2021-09-15T19:00Z			7fa4bdd5-9d82-4ee3-9d46-f79ee536b1d8
ITA	95744	2021-09-15	 3:00pm	W		SUFLK	at		SALVE	L	1-8	 	C	d3     	2021-09-15T19:00Z			e28d5f1f-c4ce-4bdd-856e-7693f0f44b2e
ITA	15971	2021-09-15	 3:30pm	W		ARCAD	at		CAIRN	L	3-6	 	 	d3     	2021-09-15T19:30Z			e4c05790-3c5b-4da5-b2fa-e74a307330da
ITA	82849	2021-09-15	 3:30pm	W		CLBS 	at		SIMM 	W	9-0	 	C	d3     	2021-09-15T19:30Z			4b3da9a9-cb63-4f61-8246-f308c178f607
ITA	 6652	2021-09-15	 4:00pm	W		CURRY	at		RWIL 	 	   	 	C	d3     	2021-09-15T20:00Z			807a90c1-d67c-4efc-927e-02ffbb2f8c9d
ITA	14552	2021-09-15	 4:00pm	W		OTTER	at		OHWES	W	8-1	 	 	d3     	2021-09-15T20:00Z			4b3e07b3-de11-4735-a026-b00626b843b4
ITA	62648	2021-09-15	 5:00pm	W		MSOE 	at		LAKEF	L	0-9	 	 	d3     	2021-09-15T21:00Z			b95f4228-944f-427c-a38b-6b29630217c6
ITA	 6033	2021-09-15	 6:00pm	W		CARRL	at		CARTH	L	4-5	 	C	d3     	2021-09-15T22:00Z			80b8469d-583e-4197-b5f4-480576188835
ITA	65549	2021-09-15	 7:00pm	W		CENT 	at		TRANS	W	6-3	 	 	d3     	2021-09-15T23:00Z			0229eb46-d658-4e48-906b-76fbd5ccb0c7
ITA	85962	2021-09-15	 6:00pm	W		WITT 	at		CED  	W	7-0	 	 	d3/d2  	2021-09-15T22:00Z			827d9f88-04fa-4897-b286-7ae68206eff7
ITA	75578	2021-09-15	 4:00pm	W		CENTR	at		GVIEW	L	0-7	 	 	d3/naia	2021-09-15T20:00Z			289ca041-bbca-41ea-9a53-ce799b4ded5b
ITA	68714	2021-09-16	 6:00pm	W		HC   	at		MTHOL	W	8-1	 	 	d1/d3  	2021-09-16T22:00Z			23866222-efb5-4b6d-a639-1fc8ba1fdf8f
ITA	26052	2021-09-16	 4:30pm	W		STANS	at		PLYM 	 	   	 	 	d2/d3  	2021-09-16T20:30Z			cacc531e-4ddb-4e3c-ac0f-39e477da6a0d
ITA	59228	2021-09-16	 3:00pm	W		SHEN 	at		SOUVA	L	4-5	 	 	d3     	2021-09-16T19:00Z			cea69109-491a-4840-b23d-8e9521889641
ITA	16977	2021-09-16	 4:00pm	W		LYC  	at		SUSQ 	 	   	 	 	d3     	2021-09-16T20:00Z			90362dca-e9f8-4da5-8929-dd00243c9ca4
ITA	59129	2021-09-16	 6:00pm	W		COLC 	vs		DBAP 	L	1-6	N	 	d3/d2  	2021-09-16T22:00Z			1e16a919-0932-465a-aab5-0a1a924ba477
ITA	81964	2021-09-16	 3:00pm	W		BTHIN	at		ADRN 	W	5-4	 	 	naia/d3	2021-09-16T19:00Z			3a2cd735-f671-498a-974f-1a43ac175ffb
ITA	65141	2021-09-17	 4:00pm	W		MILIK	at		NCENT	L	2-7	 	C	d3     	2021-09-17T20:00Z			5abb5656-78b6-4634-98dc-0521b42a6a18
ITA	35218	2021-09-17	 4:30pm	W		WIWHI	at		WIEAU	W	6-3	 	C	d3     	2021-09-17T20:30Z			1635b72c-a425-4205-8d50-23d71bb44921
ITA	 1863	2021-09-17	 5:00pm	W		ELMH 	at		CARRL	L	0-9	 	C	d3     	2021-09-17T21:00Z			39e6e66d-7114-49fb-bf73-284663283d1b
ITA	74593	2021-09-17	 5:30pm	W		NVUJ 	at		NVUL 	 	   	 	C	d3     	2021-09-17T21:30Z			c750d39e-70b1-43fa-8e1a-73ec29d2258f
ITA	69461	2021-09-17	 4:00pm	W		ALGNY	at		CLARN	W	7-0	 	 	d3/d2  	2021-09-17T20:00Z			5439f61c-c869-486b-89e8-de0ef6b8e7ea
ITA	34094	2021-09-17	 4:30pm	W		DUBQ 	at		STAMB	 	   	 	 	d3/naia	2021-09-17T20:30Z			b2465943-954e-48ed-bcc2-c3bbc04d49cd
ITA	85526	2021-09-17	 3:00pm	W		SHAWN	at		MARC 	W	5-2	 	 	naia/d3	2021-09-17T19:00Z			11b8e1b3-4d53-433b-9f00-43c1e72468e2
ITA	41796	2021-09-18	 1:00pm	W		WISE 	at		EMHEN	W	7-0	 	 	d2/d3  	2021-09-18T17:00Z			7aba57cd-1203-4ea0-a936-427b38020087
ITA	75533	2021-09-18	 5:00pm	W		MSUM 	vs		WARTB	W	5-2	N	 	d2/d3  	2021-09-18T21:00Z			c4fb0fcd-d729-4619-9d4c-c6998167b086
ITA	25482	2021-09-18	 1:00am	W		CURRY	at		SUFLK	L	3-6	 	C	d3     	2021-09-18T05:00Z			a8bc8768-e8bd-4613-b61c-e3f387ad130e
ITA	65493	2021-09-18	 4:00am	W		ILLCO	at		LAKEF	L	1-8	 	C	d3     	2021-09-18T08:00Z			63a6e6a4-6e5e-4b23-b13e-9a4f892fff45
ITA	88400	2021-09-18	10:00am	W		LWRNC	at		CRNLC	W	7-2	 	C	d3     	2021-09-18T14:00Z			e328d967-930d-478e-8b19-2bed3989b43a
ITA	34440	2021-09-18	10:00am	W		RIPON	at		GRINN	L	0-9	 	C	d3     	2021-09-18T14:00Z			8eb76891-7fc6-4a55-8960-b692cb022adc
