---
season: 2021-22
division: d1
gender: women
description: schedule/scoreboard from conference websites
updated: 2022-01-21
past: 96 (4%)
today: 30 (1%)
future: 2181 (90%)
completed: 88 (70%)
postponed: 4 (3%)
cancelled: 4 (3%)
unreported: 30 (24%)
total: 2430
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
  ACC	 76186	2022-01-15	 4:00pm	W	  	LU   	at	 7	UVA  	L	0-7	 	 	d1     		2022-01-15T21:00Z		   	4:00 P.M.     	Charlottesville, VA                             				
BgSth	 94617	2022-01-15	 4:00pm	W	  	LU   	at	 7	UVA  	L	0-7	 	 	d1     		2022-01-15T21:00Z		ET 	4:00 P.M.     	Charlottesville, VA                             				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgkKr2LlgGn6Bf%2fT2kRGdV8nwSx3hzKn1uBV5DVe4kLILZMIVAmGaDg29Bh7%2fYm5bQm0lXhw8uR664iQid0CdvE2uR6PkvW7eREbTowK7EuBoA%3d%3d&path=wten)
  ACC	 76222	2022-01-15	All Day	W	 8	NCST 	at	24	MIA  	 	   	 	 	d1     		                 		   	All Day       	Coral Gables, FL                                				
 Bg12	155160	2022-01-15	    TBA	W	  	ABCHR	at	  	TCU  	L	0-4	 	 	d1     		                 		CT 	TBA           	Fort Worth, TX                                  				
 Ptrt	116353	2022-01-15	    TBA	W	  	ARMY 	at	  	DART 	W	5-2	 	 	d1     		                 		ET 	TBA           	Hanover, NH                                     				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgluMUQaz65pji0%2bLIFrVf9iafqxUGadXVts9UMcQc8rpbvTatKds347aZWbGuP6gxIq%2bQJLD%2f1Olpkv9jmlWhTXkAGwd7ieRAL8F%2fr5Cb9LRw%3d%3d&path=wten)
 Ptrt	116354	2022-01-15	    TBA	W	  	ARMY 	at	  	SYR  	L	1-6	 	 	d1     		                 		ET 	TBA           	Syracuse, NY                                    				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgluMUQaz65pji0%2bLIFrVf9iafqxUGadXVts9UMcQc8rpbvTatKds347aZWbGuP6gxIf91nOiAPUdB3gXIzIVMmzVJhjc1hw1KUxrPPquTBlOQ%3d%3d&path=wten)
BgSky	 48577	2022-01-15	All Day	W	  	MTST 	vs	  	TULSA	L	0-7	N	 	d1     		                 		MT 	All Day       	Tulsa. OK                                       				[Video](http://streamingtennis.com/tulsa/) [Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgkIHE1IKaA3WBUqC93kXXY4AMBU%2fhLLBzhdQBQaS2QuiufATdr4EcUuNToaU8VvMqrZwgtfM0t2sFiDiAHDd2UJ&path=wten)
 Hrzn	 38866	2022-01-15	All Day	W	  	NKU  	at	  	TMORE	W	7-0	 	 	d1/naia		                 		ET 	All Day       	Crestview Hills, KY                             				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglEsXQ21%2bpF%2f9k1EXIJDeC965wv2brqq06zCWG3Chg9J3juXmpQz%2fH0XPEQ8qXK6YvOVay7VTWHMR5wDO17R5zA&path=wten)
SnBlt	 36281	2022-01-15	 7:00am	W	  	GAST 	at	  	FGCU 	L	2-4	 	 	d1     		2022-01-15T12:00Z		ET 	7:00 AM       	Fort Myers, FL                                  				[Box Score](/boxscore.aspx?id=579IJ30h2Fjz9fSs2h5r9q8x8LPopTfqCCmGxmx71SIeqOBUQ4vDoj54v1I4Q5oa3uRblTYWolCu3srWO5iF%2bKP6zq8XAacsDeaJGor%2fGPKQyoaRKEwpKzYYfhuRaiRc&path=wten)
C-USA	 66677	2022-01-15	 9:30am	W	  	LT   	vs	  	WYO  	W	4-3	N	 	d1     		2022-01-15T14:30Z		CT 	8:30 A.M.     	Tulsa, OK                                       				[Video](http://streamingtennis.com/tulsa/) [Live Stats](http://streamingtennis.com/tulsa/) [Box Score](/boxscore.aspx?id=JD6tPxjCUz4GyetN4XLJWEVKUGt0l7wiFQvRA4dDZi7O4rrPAlQtt2vwFmuXeLgTQ%2bsa8AxMd3mcL3uQL8u3Yc8%2bckwPNXWij3mBfTfBYd46yVarnt8sgTq%2bHiK66yBC&path=wten)
