---
season: 2021-22
division: d3
gender: men
description: schedule/scoreboard from conference websites
updated: 2022-01-21
past: 53 (9%)
future: 519 (90%)
completed: 53 (100%)
total: 576
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
   PAC	35950	2021-09-30	 4:00pm	M		WAYNE	at		FROST	L	0-7	 	 	d3/d2  		2021-09-30T20:00Z		ET	4 P.M.    	Frostburg, MD                            				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmG%2bW3nZPl4VO8r5GtwMhtEdgPwe1Lkg8VsVMB8B3iPOPksOfiyVEW6WTuqnzD9lTAi1kZvEVEZ2ctO39yd5XO5yP8z%2fjus0e6bTekhlcU%2boA%3d%3d&path=mten)
   AEC	 7505	2021-10-02	11:00am	M		MUHL 	at		MARYW	L	3-6	 	 	d3     		2021-10-02T15:00Z		ET	11:00 A.M.	Scranton, PA                             				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgk9AFVZDwLtqNFGmD7CvUep87gCzCoZkw9cghcR9Ikpyck7eqcpWAfwfgVNIC2ldISVHBrylpzRSG8O4DKhBMyz&path=mten)
   AEC	 7560	2021-10-02	11:30am	M		ALBRT	at		GWYN 	W	8-1	 	 	d3     		2021-10-02T15:30Z		ET	11:30 A.M.	Gwynedd Valley, PA                       				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgl1qSnPpOxsgYOr4va3LpaCX0l%2fHZi8vcuwteJy74EwVl9WH1pHaI4ZAcufJ2kFVEMf0d8h9v4bkTIvmQFZ9Zze&path=mten)
    E8	50118	2021-10-04	 4:00pm	M		HOUGH	at		OSWGO	W	5-4	 	 	d3     		2021-10-04T20:00Z		ET	4:00 P.M. 	Oswego, NY                               				
   PAC	35948	2021-10-05	 3:00pm	M		GENEV	at		WAYNE	L	3-6	 	 	d3     		2021-10-05T19:00Z		ET	3 P.M.    	Waynesburg, PA                           				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmG%2bW3nZPl4VO8r5GtwMhtEdgPwe1Lkg8VsVMB8B3iPOPksOfiyVEW6WTuqnzD9lTDZmySDRgvlwWdSWpt%2bLWvjItIHF0qzRJoqp7HhB2DMyg%3d%3d&path=mten)
 Lbrty	45356	2021-10-06	       	M		RAMAP	at		BARD 	W	6-3	 	 	d3     		                 		ET	          	Annandale-on-Hudson, NY                  				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgn3fQDIqgZ3VtyZRMOS4iVcY%2bYGq6H9U3NT8%2bbQDXZ2%2fEvbTxPjK3InvooKiipGSkypNaNBpmXJaWIBs2fbHhAQoCk5GmLEdgwuvxotQyI1Sw%3d%3d&path=mten)
   UEC	52376	2021-10-06	 3:00pm	M		PSUAB	at		ALBRT	L	2-7	 	 	d3     		2021-10-06T19:00Z		ET	3:00 P.M. 	Reading, PA                              				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgnNNw3%2b%2bJEo20aSiwIWZk87SdndBVHrNRodKPQQtqQJYny1LXIJ450bJ%2bjc%2bFDf9jZcTRCiK6RgjMUEZUStAfQbHS2UGMxzd4tRmsCn0Fo1IA%3d%3d&path=mten)
    E8	50117	2021-10-06	 4:00pm	M		ALF  	at		BRADF	W	9-0	 	 	d3     		2021-10-06T20:00Z		ET	4:00 P.M. 	Bradford, PA                             				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmTAbNL5pJcUQzwyu9s5%2bd%2bNfA3lr9lKi1hYtjIE1yiCkaS1y3tjfIFhQ3C5YEYqaF7Qvxbpjl4N%2bibujwJMxdgsDgX4SMgFK7el45BY6lXoQ%3d%3d&path=mten)
  NJAC	83520	2021-10-06	 4:00pm	M		RAMAP	at		BARD 	W	6-3	 	 	d3     		2021-10-06T20:00Z		ET	4:00 P.M. 	Annandale-on-Hudson, NY                  				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgm2RGw0JN7xleeFlzVBC%2fhGf0w9MpMDlJoS15%2bCJKfQSjRMqOXirT0nypZiob6Db3pyBZeFPiTHC6d1UDW6y52OUpY19pDu4KAVyovm1C1QWg%3d%3d&path=mten)
  NJAC	82307	2021-10-07	 4:00pm	M		DREW 	at		RAMAP	W	7-2	 	 	d3     		2021-10-07T20:00Z		ET	4:00 P.M. 	Mahwah, NJ                               				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgm2RGw0JN7xleeFlzVBC%2fhGf0w9MpMDlJoS15%2bCJKfQSjRMqOXirT0nypZiob6Db3qtR1hRa9jv5Rs63G%2bfOUYNQw2M3Mq6S6g1Hg%2fVY632fQ%3d%3d&path=mten)
   PAC	36056	2021-10-07	 6:00pm	M		WMNPA	at		GENEV	W	9-0	 	 	d3     		2021-10-07T22:00Z		  	6 P.M.    	Beaver Falls, PA                         				
   PAC	35922	2021-10-09	12:00pm	M		FRANC	at		ASH  	L	1-6	 	 	d3/d2  		2021-10-09T16:00Z		ET	12 P.M.   	Ashland, OH                              				[Box Score](/boxscore.aspx?id=U95KDbi8KaY21DX%2b6VZ5VMYo9WG3lWhJ%2b%2fXiqWeSMiioxXfeNXfNTVef33HD3R1eVaHESGEpzUqIZ3zj3ITNhKykzBt5%2bv8awS%2bkYSBJeAom9iPh3Ng7Nuby6rdgF%2bgd&path=mten)
   UEC	52373	2021-10-09	12:00pm	M		LBC  	at		MTALO	W	5-4	 	 	d3     		2021-10-09T16:00Z		ET	12:00 P.M.	Cresson, PA                              				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgnzYppI10ZaOiQcjg%2bC2HzvEXrUEPFk7vpFUqsUE5Wn4x3HbinhT2AFm%2f07PN4UK5B6alDPlV5gN%2bnocvo4UTH5Rx%2f9mfSlZHHo4nCrqW0Dyg%3d%3d&path=mten)
   AEC	 7498	2021-10-09	 2:00pm	M		MARYW	at		PATEC	L	0-9	 	 	d3     		2021-10-09T18:00Z		ET	2:00 P.M. 	Williamsport, PA                         				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgk9AFVZDwLtqNFGmD7CvUep87gCzCoZkw9cghcR9IkpyW7u1as4V%2fEy2H1c9K7PhQioCcw8LIfTIc6FBkYPOMYf&path=mten)
   ASC	94567	2021-10-09	 3:00pm	M		TXWES	at		HOWPN	W	9-0	 	 	naia/d3		2021-10-09T19:00Z		  	2:00 P.M. 	Brownwood, TX                            				
   PAC	35933	2021-10-09	 4:30pm	M		CAP  	at		GENEV	W	9-0	 	 	d3     		2021-10-09T20:30Z		ET	4:30 P.M. 	Beaver Falls, PA                         				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgkm5McLX6AyS%2bMjGVwD93IarCfxMg%2fx36VCP3ssANRM7ZFkZ4TKstxoApeRBz%2ftvys8VVpPRxI%2b%2fA27vUG4FZBClLsd7hzpK9%2fJ26hD0RSsn6fkZDXnaIpMe5ngD2Egyik%3d&path=mten)
  NJAC	82288	2021-10-10	 5:30pm	M		WAG  	at		NJCU 	W	5-4	 	 	d1/d3  		2021-10-10T21:30Z		ET	5:30 P.M. 	West Orange, NJ / West Orange Tennis Club				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgnboybeYZ7SS9NgFFTi4K%2f7F5YZLQxXvir%2fmDzxBDsFPIUVomEu7e4jD%2bttswpxi%2fXFVmWHwwsnSH0XFMZqlRUuMswa%2b0xXrbWwKEnbSS6RQg%3d%3d&path=mten)
   PAC	35945	2021-10-15	 4:00pm	M		WLU  	at		W&J  	W	9-0	 	 	d2/d3  		2021-10-15T20:00Z		ET	4 P.M.    	Washington, PA                           				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmgNAdXevzPOWyWmRo3gYuivplcJVFLd7i6LnqQGYQpShMPkvd7PFmsCn74%2fEzifH72wdO%2bxJLD1tSu%2f08pv3xp6OkjCLiFZwZEZ3ptAF6J5Q%3d%3d&path=mten)
   PAC	35987	2021-10-17	 2:00pm	M		WMNPA	at		MARC 	W	8-1	 	 	d3     		2021-10-17T18:00Z		ET	2 P.M.    	Marietta, OH                             				
   ASC	96519	2022-01-28	 3:00pm	M		MCMUR	at		MSUTX	 	   	 	 	d3     		2022-01-28T20:00Z		  	2:00 P.M. 	Wichita Falls, TX                        				
  UMAC	74938	2022-01-28	 5:00pm	M		NW   	at		STMAR	 	   	 	 	d1/d3  		2022-01-28T22:00Z		  	4:00 P.M. 	Winona, Minn.                            				
   ASC	96520	2022-01-29	11:00am	M		UST  	at		MCMUR	 	   	 	 	d3     		2022-01-29T16:00Z		  	10:00 A.M.	Wichita Falls, TX                        				
  UMAC	74919	2022-01-29	 1:30pm	M		MLUTH	at		STMAR	 	   	 	 	d3     		2022-01-29T18:30Z		  	12:30 P.M.	Winona, Minn.                            				
  CCIW	56213	2022-01-29	 2:00pm	M		NCENT	at		CHICG	 	   	 	 	d3     		2022-01-29T19:00Z		CT	1:00 P.M. 	Chicago, IL                              				
  NJAC	86538	2022-01-30	 5:00pm	M		CARLE	vs		WILAC	 	   	N	 	d3     		2022-01-30T22:00Z		CT	4:00 P.M. 	Winona, MN                               				
  CCIW	56165	2022-02-04	All Day	M		ILWES	at		TRANS	 	   	 	 	d3     		                 		CT	All Day   	Lexington, KY                            				
  CCIW	56251	2022-02-04	    TBA	M		IUE  	at		WHEAT	 	   	 	 	naia/d3		                 		CT	TBA       	Wheaton, IL                              				
   ASC	94505	2022-02-04	12:00pm	M		DBAP 	vs		ETXBP	 	   	N	 	d2/d3  		2022-02-04T17:00Z		  	11:00 A.M.	Arlington, TX                            				
   ASC	96521	2022-02-04	 2:00pm	M		MCMUR	at		TXWES	 	   	 	 	d3/naia		2022-02-04T19:00Z		  	1:00 P.M. 	Arlington, TX                            				
   ASC	95406	2022-02-04	 4:00pm	M		DBAP 	vs		LETOU	 	   	N	 	d2/d3  		2022-02-04T21:00Z		  	3:00 P.M. 	Arlington, TX                            				
   ASC	94504	2022-02-04	 6:00pm	M		ETXBP	at		TXWES	 	   	 	 	d3/naia		2022-02-04T23:00Z		  	5:00 P.M. 	Arlington, TX                            				
  CCIW	56166	2022-02-05	All Day	M		ILWES	at		TRANS	 	   	 	 	d3     		                 		CT	All Day   	Lexington, KY                            				
 Lbrty	43769	2022-02-05	       	M		RIT  	at		NAZ  	 	   	 	 	d3     		                 		ET	          	Rochester, NY                            				
  UMAC	74960	2022-02-05	       	M		SUPER	at		MAC  	 	   	 	 	d3     		                 		  	          	St. Paul, Minn.                          				
   ASC	96522	2022-02-05	10:00am	M		DBAP 	vs		MCMUR	 	   	N	 	d2/d3  		2022-02-05T15:00Z		  	9:00 A.M. 	Arlington, TX                            				
