---
season: 2021-22
division: d2
gender: men
description: schedule/scoreboard from conference websites
updated: 2022-01-21
past: 56 (7%)
future: 671 (90%)
completed: 54 (96%)
postponed: 1 (2%)
unreported: 1 (2%)
total: 748
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
 PSAC	112054	2021-10-12	 2:30pm	M		CHC  	at		WCUPA	W	6-1	 	 	d2     		2021-10-12T18:30Z		ET	2:30 P.M. 	                                     				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgklHEmiteiJDQUcm0dwQRKSRFxQBvCAv701czsHAu7RG2NZtLI2bwX7tjSsEiiKgJ6Sk2atqAsJqVT%2bHl%2bCUh96hxYGo%2f%2bE0%2fztnXoT%2bYwKUA%3d%3d&path=mten)
 PSAC	112010	2021-10-13	 2:00pm	M		UDC  	at		MILL 	L	2-5	 	 	d2     		2021-10-13T18:00Z		ET	2:00 P.M. 	Millersville, PA                     				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgkbHtwaIoIhoILVDgijoN6t%2bfIYvA6jhRTRxwpv%2f%2bqJF2UFsKwC7WWI1BMisrCKjBwn4YIwICwBlPfOO1yWYpJDydgd2RUGTKypf%2bVqByzdPQ%3d%3d&path=mten)
   CC	 68289	2021-10-13	 4:00pm	M		EMM  	at		YOUNG	L	2-5	 	 	d2     		2021-10-13T20:00Z		ET	4:00 p.m. 	Young Harris, GA                     				[Box Score](/boxscore.aspx?id=tuBAzSyZL2EN8DRzJ1Dc0MyKWXtvcBC1Z6NjAFtGG2fT7mkyNuFHTsaHqmubRYWjfTlGtOxVBgg4jlM47syBQE1fGBk2fn4GEC40ft%2bBvlA%3d&path=mten)
  PBC	 59988	2021-10-13	 4:00pm	M		EMM  	at		YOUNG	L	2-5	 	 	d2     		2021-10-13T20:00Z		ET	4:00 P.M. 	Young Harris, GA                     				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgkW6YLSWoiYhIJ8w5KqoUHxJ6FGP4%2bzQiAWeN7iGfHszBr1FUtkblLyNARcO0zmsBTxbyQHT92agF%2bWLaeT%2bHQMf4xr5vf5cY9CKN4GPUzNxA%3d%3d&path=mten)
 PSAC	112052	2021-10-14	 2:30pm	M		JEFF 	at		WCUPA	W	7-0	 	 	d2     		2021-10-14T18:30Z		ET	2:30 P.M. 	West Chester, PA                     				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgklHEmiteiJDQUcm0dwQRKSRFxQBvCAv701czsHAu7RG2NZtLI2bwX7tjSsEiiKgJ6pTJIJkJcSOrl6WXFRWobkcsTPPOahPZTPb7c9UQVung%3d%3d&path=mten)
 PSAC	111921	2021-10-15	 6:00pm	M		BUP  	at		UDC  	L	1-5	 	 	d2     		2021-10-15T22:00Z		ET	6:00 P.M. 	Washington, DC                       				
 PSAC	112053	2021-10-20	 2:00pm	M		STAC 	at		WCUPA	W	7-0	 	 	d2     		2021-10-20T18:00Z		ET	2:00 P.M. 	West Chester, PA                     				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgklHEmiteiJDQUcm0dwQRKSRFxQBvCAv701czsHAu7RG2NZtLI2bwX7tjSsEiiKgJ5T6AUwbnYNapp4TbIljrX5QfP2%2bhgTG2hXB%2baujZuz%2fw%3d%3d&path=mten)
 PSAC	112036	2021-10-22	 2:30pm	M		FROST	at		SHEP 	W	7-0	 	 	d2     		2021-10-22T18:30Z		ET	2:30 P.M. 	Shepherdstown, WV                    				
   CC	 68875	2021-10-23	10:00am	M		NEW  	at		NGC  	W	4-1	 	 	d2     		2021-10-23T14:00Z		ET	10:00 a.m.	Tigerville, SC                       				
   CC	 69209	2021-10-23	12:00pm	M		EMHEN	at		KING 	L	0-7	 	 	d3/d2  		2021-10-23T16:00Z		ET	12:00 p.m.	Bristol, TN                          				[Box Score](/boxscore.aspx?id=bcKd4iQNfbQ8Ez23IFrutW%2bxFsDkBgIn5rJzcv0z861vUYzNhWAzV%2biQP4%2bPYbw%2bXrs0ljC%2bjb0Xzn2LimRb7oRGa3YvoKgBTG%2fGh9ugA7%2f1tck3Y8cBE%2fu9%2bmreqaIl&path=mten)
   CC	 68265	2021-10-23	 1:00pm	M		CONV 	at		CAT  	W	4-3	 	 	d2     		2021-10-23T17:00Z		ET	1:00 p.m. 	Salisbury, NC                        				
   CC	 68876	2021-10-23	 3:00pm	M		MARS 	at		NGC  	L	2-4	 	 	d2     		2021-10-23T19:00Z		ET	3:00 p.m. 	Tigerville, SC                       				
