---
season: d3
gender: men
description: schedule/scoreboard from team websites
updated: 2022-01-21
past: 125 (17%)
today: 1 (0%)
future: 604 (83%)
completed: 94 (75%)
unreported: 32 (25%)
total: 731
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	teamId	opponentId	dualId
ITA	  372	2021-09-18	10:00am	M		DUBQ 	at	  	STAMB                      	 	   	 	 	d3/naia	2021-09-18T14:00Z			37237f70-ec8f-45f6-ba86-78186437610b
ITA	17220	2021-09-19	10:00am	M		EMERS	at	  	NIC                        	L	3-6	 	 	d3     	2021-09-19T14:00Z			6ad2d3e3-59fb-4a38-b047-dca952801d06
ITA	76363	2021-09-19	10:00am	M		OHION	at	  	HANOV                      	W	6-3	 	 	d3     	2021-09-19T14:00Z			b13c3bc9-79b1-4ca3-acb9-96ddb9aa192f
ITA	65019	2021-09-19	 1:00pm	M		REGIS	at	  	CLRK                       	L	2-7	 	 	d3     	2021-09-19T17:00Z			851fe328-5977-49cb-ab9c-d12a13cc5809
ITA	78342	2021-09-19	 4:00pm	M		OHION	at	  	FRANK                      	W	9-0	 	 	d3     	2021-09-19T20:00Z			c010632d-1a1b-4667-906e-3cc4ffe7f48f
ITA	22432	2021-09-19	 5:00pm	M		LAKEF	at	  	MSOE                       	W	8-1	 	 	d3     	2021-09-19T21:00Z			86ad5cc0-0cea-42bc-b342-83a488044dab
ITA	88438	2021-09-19	12:00pm	M		ROAN 	at	  	WISE                       	L	3-4	 	 	d3/d2  	2021-09-19T16:00Z			cf5769dc-f75f-434d-830e-737310b6f15e
ITA	90583	2021-09-21	 3:00pm	M		SUSQ 	at	  	MISER                      	W	9-0	 	 	d3     	2021-09-21T19:00Z			b92f9afe-fcd7-4c35-b607-ca6ff434b7cb
ITA	55666	2021-09-22	 4:00pm	M		BARD 	at	  	UNION                      	L	1-8	 	C	d3     	2021-09-22T20:00Z			57aa0f7f-a81b-4ac4-a694-83c45e35ba08
ITA	46798	2021-09-24	 3:30pm	M		LEBAN	at	  	PSUHA                      	W	6-3	 	 	d3     	2021-09-24T19:30Z			31d9f5a9-94a5-41d6-9ce0-961a73323de9
