division	gender	code	abbreviation	name
d3  	women	Skyline   	SC       	Skyline Conference
d3  	men  	SLIAC     	SLIAC    	St. Louis Intercollegiate Athletic Conference
d3  	women	SLIAC     	SLIAC    	St. Louis Intercollegiate Athletic Conference
d3  	women	SUNYAC    	SUNYAC   	State University of New York Athletic Conference
d3  	men  	UAA       	UAA      	University Athletic Association
d3  	women	UAA       	UAA      	University Athletic Association
d3  	men  	UMAC      	UMAC     	Upper Midwest Athletic Conference
d3  	women	UMAC      	UMAC     	Upper Midwest Athletic Conference
d3  	women	WIAC      	WIAC     	Wisconsin Intercollegiate Athletic Conference
naia	men  	AII       	AII      	Association of Independent Institiutions
naia	women	AII       	AII      	Association of Independent Institiutions
naia	men  	AMC       	AMC      	American Midwest Conference
naia	women	AMC       	AMC      	American Midwest Conference
naia	men  	AppAC     	AAC      	Appalachian Athletic Conference
naia	women	AppAC     	AAC      	Appalachian Athletic Conference
naia	men  	CCAC      	CCAC     	Chicagoland Collegiate Athletic Conference
naia	women	CCAC      	CCAC     	Chicagoland Collegiate Athletic Conference
naia	men  	CL        	CL       	Crossroads League
naia	women	CL        	CL       	Crossroads League
naia	men  	GCAC      	GCAC     	Gulf Coast Athletic Conference
naia	women	GCAC      	GCAC     	Gulf Coast Athletic Conference
naia	men  	Golden St 	GSAC     	Golden State Athletic Conference
naia	women	Golden St 	GSAC     	Golden State Athletic Conference
naia	men  	GPAC      	GPAC     	Great Plains Athletic Conference
naia	women	GPAC      	GPAC     	Great Plains Athletic Conference
naia	men  	HAAC      	HAAC     	Heart of America Athletic Conference
naia	women	HAAC      	HAAC     	Heart of America Athletic Conference
naia	men  	KCAC      	KCAC     	Kansas Collegiate Athletic Conference
naia	women	KCAC      	KCAC     	Kansas Collegiate Athletic Conference
naia	men  	MSC       	MSC      	Mid-South Conference
naia	women	MSC       	MSC      	Mid-South Conference
naia	men  	RRAC      	RRAC     	Red River Athletic Conference
naia	women	RRAC      	RRAC     	Red River Athletic Conference
naia	men  	RSC       	RSC      	River States Conference
naia	women	RSC       	RSC      	River States Conference
naia	men  	Sooner    	SAC      	Sooner Athletic Conference
naia	women	Sooner    	SAC      	Sooner Athletic Conference
naia	men  	SSAC      	SSAC     	Southern States Athletic Conference
naia	women	SSAC      	SSAC     	Southern States Athletic Conference
naia	men  	TSC       	TSC      	The Sun Conference
naia	women	TSC       	TSC      	The Sun Conference
juco	men  	Big 8-N   	         	Big 8 Conference - North
juco	women	Big 8-N   	         	Big 8 Conference - North
juco	men  	Big 8-S   	         	Big 8 Conference - South
juco	women	Big 8-S   	         	Big 8 Conference - South
juco	men  	Coast     	         	Coast Conference
juco	women	Coast     	         	Coast Conference
juco	men  	OEC       	OEC      	Orange Empire Conference
juco	women	OEC       	OEC      	Orange Empire Conference
juco	men  	PCAC      	PCAC     	Pacific Coast Athletic Conference
juco	women	PCAC      	PCAC     	Pacific Coast Athletic Conference
juco	men  	R01       	         	Region 1
juco	women	R01       	         	Region I
juco	men  	R02       	         	Region 2
juco	women	R02       	         	Region 2
juco	men  	R03       	         	Region 3
juco	women	R03       	         	Region 3
juco	men  	R04       	         	Region 4
juco	women	R04       	         	Region 4
juco	men  	R05       	         	Region 5
juco	women	R05       	         	Region 5
juco	men  	R06       	         	Region 6
juco	women	R06       	         	Region 6
juco	men  	R08       	         	Region 8
juco	women	R08       	         	Region 8
juco	men  	R10       	         	Region 10
juco	women	R10       	         	Region 10
juco	men  	R11       	         	Region 11
juco	women	R11       	         	Region 11
juco	men  	R14       	         	Region 14
juco	women	R14       	         	Region 14
juco	men  	R15       	         	Region 15
juco	women	R15       	         	Region 15
juco	men  	R17       	         	Region 17
juco	women	R17       	         	Region 17
juco	men  	R18       	         	Region 18
juco	women	R18       	         	Region 18
juco	men  	R19       	         	Region 19
juco	women	R19       	         	Region 19
juco	men  	R20       	         	Region 20
juco	women	R20       	         	Region 20
juco	men  	R21       	         	Region 21
juco	women	R21       	         	Region 21
juco	men  	R22       	         	Region 22
juco	women	R22       	         	Region 22
juco	men  	R23       	         	Region 23
juco	women	R23       	         	Region 23
juco	men  	R24       	         	Region 24
juco	women	R24       	         	Region 24
juco	men  	SCC       	SCC      	South Coast Conference
juco	women	SCC       	SCC      	South Coast Conference
