division	gender	conference	state	city	abbreviation	name	website	twitter	instagram	facebook	map
d1  	men  	ASUN     	FL	Fort Myers         	FGCU         	Florida Gulf Coast University                             	https://fgcuathletics.com/sports/mens-tennis	FGCU_MTEN	fgcu_mten	fgcumten	https://goo.gl/maps/r8ukZDDduooV6eWa7
d1  	men  	ASUN     	GA	Kennesaw           	KSU          	Kennesaw State University                                 	https://ksuowls.com/sports/mens-tennis	KSUMensTennis	ksumenstennis	KennesawStateOwls	https://goo.gl/maps/H1hxhB2U67YWMa8y6
d1  	men  	ASUN     	VA	Lynchburg          	LU           	Liberty University                                        		LUMensTennis	libertymenstennis	LibertyUniversityMensTennis	https://goo.gl/maps/WMF3jidUZ2A9KDFM6
d1  	men  	ASUN     	TN	Nashville          	             	Lipscomb University                                       	https://lipscombsports.com/sports/mens-tennis	LipscombMTEN	lipscomb_m_tennis	Lipscombmtennis	https://goo.gl/maps/W5k3Tpp9vpUdS4aq6
d1  	men  	ASUN     	NJ	Newark             	NJIT         	New Jersey Institute of Technology                        	https://www.njithighlanders.com/sports/mens-tennis	njitmenstennis	njitmenstennis	njitmenstennis	https://goo.gl/maps/A7txyB7mHQGnGLan6
d1  	men  	ASUN     	AL	Florence           	UNA          	University of North Alabama                               	https://roarlions.com/sports/mens-tennis	UNATennis	una_tennis	unaathletics	https://goo.gl/maps/JLeZ6FppfX5772g2A
d1  	men  	ASUN     	FL	Jacksonville       	UNF          	University of North Florida                               	https://unfospreys.com/sports/mens-tennis	OspreyMTEN	unf_mens_tennis	OspreyMTEN	https://goo.gl/maps/h17BdAWNZm64pCkRA
d1  	men  	ASUN     	FL	DeLand             	SU           	Stetson University                                        	https://gohatters.com/sports/mens-tennis	StetsonTennis	stetson_mtn	StetsonTennis	https://www.google.com/maps/place/Mandy+Stoll+Tennis+Center/@29.0371058,-81.2999195,753m/data=!3m2!1e3!4b1!4m5!3m4!1s0x88e71b7f338165bd:0x3ac835c0bf685d5!8m2!3d29.0371058!4d-81.2977308
d1  	men  	Big 12   	TX	Waco               	BU           	Baylor University                                         	https://baylorbears.com/sports/mens-tennis	BaylorMTennis	baylormtennis	BaylorMTennis	https://goo.gl/maps/KNiAWgfg7jkjdsjq5
d1  	men  	Big 12   	OK	Norman             	OU           	University of Oklahoma                                    	https://soonersports.com/sports/mens-tennis	OU_MTennis	ou_mtennis	OUMTennis	https://goo.gl/maps/3SmyTvGLNooUHVa67
d1  	men  	Big 12   	OK	Stillwater         	OSU          	Oklahoma State University                                 	https://okstate.com/sports/mens-tennis	CowboyTennis	cowboytennis	cowboytennis	https://goo.gl/maps/boHhE7ao7nqH7CRz9
d1  	men  	Big 12   	TX	Fort Worth         	TCU          	Texas Christian University                                	https://gofrogs.com/sports/mens-tennis	TCUMensTennis	tcumenstennis	TCUMensTennis	https://goo.gl/maps/98HMAozmjHVFbtSt6
d1  	men  	Big 12   	TX	Austin             	UT           	University of Texas                                       	https://texassports.com/sports/mens-tennis	TexasMTN	texasmtn	TexasMTN	https://goo.gl/maps/QXxDhGsaZFdWu66w6
d1  	men  	Big 12   	TX	Lubbock            	TTU          	Texas Tech University                                     	https://texastech.com/sports/mens-tennis	TexasTechMTEN	texastechmten	techmenstennis	https://www.google.com/maps/place/McLeod+Tennis+Center/@33.5852767,-101.8953479,718m/data=!3m2!1e3!4b1!4m5!3m4!1s0x86fe0d56e93b5edf:0xf4aaa1b1b0aab9b5!8m2!3d33.5852767!4d-101.8931592
d1  	men  	BIG EAST 	IN	Indianapolis       	BU           	Butler University                                         	https://butlersports.com/index.aspx?path=mten	ButlerUMTennis	butlerumtennis	ButlerUMTennis	https://goo.gl/maps/WsLGD9mmtVJSNw6v9
d1  	men  	BIG EAST 	CT	Storrs             	UConn        	University of Connecticut                                 	https://uconnhuskies.com/sports/mens-tennis	UConnMTennis	uconnmtennis	UConnTennis	https://goo.gl/maps/oVorxUxnytvAKgfH8
d1  	men  	BIG EAST 	NE	Omaha              	CU           	Creighton University                                      	https://gocreighton.com/sports/mens-tennis	creightontennis	creightontennis	CreightonMensTennis	https://goo.gl/maps/cV4o48Y7XGwqNodG6
