---
tournaments: 375
withResults: 294
completed: 335
inProgress: 30
future: 10
events: 831
entrants: 22528
results: 33510
---
week	code	players	events	results	starts	ends	divisions	gender	name	organization	url
37	21-72298	 34	2	 67	2021-09-17	2021-09-19	DI                	M	Auburn Fall Invite	Auburn University (M)	https://colleges.wearecollegetennis.com/competitions/AuburnUniversityM/Tournaments/Overview/5CE93068-0A51-4941-853B-FC0571C04451
37	21-69307	 61	2	150	2021-09-16	2021-09-18	DI                	M	Bedford Cup in the Mountains	U.S. Air Force Academy (M)	https://colleges.wearecollegetennis.com/competitions/USAirForceAcademyM/Tournaments/Overview/E8C14C9B-4222-480F-BC01-85183085A47E
37	21-14330	 51	2	 98	2021-09-17	2021-09-19	DI                	W	Brown Invitational	Brown University (W)	https://colleges.wearecollegetennis.com/competitions/BrownUniversityW/Tournaments/Overview/8EA19D28-8C5F-436E-80F9-E515FC4507EA
37	21-04953	 18	3	 36	2021-09-17	2021-09-19	DI                	M	Dale Short Shootout	Middle Tennessee State University (M)	https://colleges.wearecollegetennis.com/competitions/MiddleTennesseeStateUniversityM/Tournaments/Overview/8D17D1A4-3D6A-4D99-9858-4808AD3D6EAE
37	21-10750	 30	2	 58	2021-09-17	2021-09-19	DI                	M	Dartmouth Invitational	Dartmouth College (M)	https://colleges.wearecollegetennis.com/competitions/DartmouthCollegeM/Tournaments/Overview/FB53D115-F7C3-43C7-9CAF-0B60D9E55E67
37	21-22147	111	2	208	2021-09-17	2021-09-19	DI                	W	Debbie Southern Furman Fall Classic	Furman University (W)	https://colleges.wearecollegetennis.com/competitions/FurmanUniversityW/Tournaments/Overview/3803B600-6726-48B5-820F-B45C3CF8E5DF
37	21-67582	 46	2	 99	2021-09-17	2021-09-19	DI                	M	Duke Bonk Invitational	Duke University (M)	https://colleges.wearecollegetennis.com/competitions/DukeUniversityM/Tournaments/Overview/FFC0211B-E579-4EA7-9FE6-D4E9522C2014
37	21-68006	 32	2	   	2021-09-17	2021-09-19	DI                	M	Easley Memorial	Univ. Of Nevada, Las Vegas (M)	https://colleges.wearecollegetennis.com/competitions/UnivOfNevadaLasVegasM/Tournaments/Overview/B68941DD-7729-47AF-B246-A2BF80126384
37	21-46904	 53	2	102	2021-09-17	2021-09-19	DI                	W	Elon Invitational	Elon University (W)	https://colleges.wearecollegetennis.com/competitions/ElonUniversityW/Tournaments/Overview/D341E105-6419-48B8-81B3-12C351B4C40A
37	21-62496	 27	2	 50	2021-09-17	2021-09-18	DI                	W	EMU Hidden Duals	Eastern Michigan Univ. (W)	https://colleges.wearecollegetennis.com/competitions/EasternMichiganUnivW/Tournaments/Overview/99EF6D1C-7CE5-429F-AB7E-DD49D74589AD
37	21-11230	 32	2	 39	2021-09-17	2021-09-19	DI                	W	Harvard Fall Classic Invite	Harvard University (W)	https://colleges.wearecollegetennis.com/competitions/HarvardUniversityW/Tournaments/Overview/8403F31B-4EDA-4CF5-980B-3AFA6395FF9F
37	21-91737	 62	2	149	2021-09-17	2021-09-19	DI                	W	Hokie Fall Invite	Virginia Tech (W)	https://colleges.wearecollegetennis.com/competitions/VirginiaTechW/Tournaments/Overview/ACE61305-F599-467B-BCC6-93D21D1C354A
37	21-60419	 47	2	 95	2021-09-17	2021-09-19	DI                	W	Idaho State Invite	Idaho State University (W)	https://colleges.wearecollegetennis.com/competitions/IdahoStateUniversityW/Tournaments/Overview/A09A4AF9-B31A-4CDC-A222-437B2830D744
