---
tournaments: 117
players: 3031
matches: 4929
completed: 4859
scheduled: 70
---
tournamentCode	eventId	drawId	bracketId	roundId	winner	player1	partner1	player2	partner2	round	seed1	line1	seed2	line2	score
21-01963	1	2	1	1	1	x9gtyv		th3vfr		16		Nicole Frankel		Katelyn Hart	84
21-01963	1	2	1	1	1	wdn3bb		w40qwi		16		Kriti Williams		Deliala Friedman	86
21-01963	1	2	1	1	1	i2acus		kpohqf		16		Mia Kintiroglou		Sara Fernandez	84
21-01963	1	2	1	1	1	ilnjvn		7rxld9		16		Serim Jin		Seraphin Castelino	83
21-01963	1	3	1	1	1	idy18j		ixu9sf		16		Kaya Amin		Kennedy May	81
21-01963	1	3	1	1	1	i2acus		08qqu2		16		Mia Kintiroglou		Kristina Yu	86
21-01963	1	3	1	1	1	wdn3bb		x9gtyv		16		Kriti Williams		Nicole Frankel	86
21-01963	1	3	1	1	1	w40qwi		hu60y0		16		Deliala Friedman		Jay Lu	86
21-01963	1	3	1	1	1	oscqku		zb8n6t		16		Annie Dong		Casey Cummings	82
21-01963	1	4	1	1	1	wdn3bb		kpohqf		QF		Kriti Williams		Sara Fernandez	86
21-01963	1	4	1	1	1	w40qwi		oscqku		QF		Deliala Friedman		Annie Dong	80
21-01963	1	4	1	1	1	th3vfr		08qqu2		QF		Katelyn Hart		Kristina Yu	97
21-02168	1	1	1	7	1	r1xntf		uv4vqp		R7		Selin Ovunc		Abigail Rencheli	76(4) 36 [10]
21-02168	1	1	1	7	1	7eh2rk		er3xvx		R7		Emma Navarro		Yuliia Starodubtseva	46 63 [11]
21-02168	1	1	1	7	1	lmhibw		zoqmyq		R7		Elaine Chervinsky		Sophie Abrams	64 61
21-02168	1	1	1	6	1	er3xvx		r1xntf		R6		Yuliia Starodubtseva		Selin Ovunc	67(1) 63 [4]
21-02168	1	1	1	6	1	y501uf		i4262q		R6		Hibah Shaikh		Mariana Manyoma Vel…	64 75
21-02168	1	1	1	6	1	zba3c1		pouia6		R6		Tiffany Lagarde		Nicole Kiefer	62 60
21-02168	1	1	1	5	1	er3xvx		zoqmyq		R5		Yuliia Starodubtseva		Sophie Abrams	64 63
21-02168	1	1	1	5	1	43rx7l		i4262q		R5		Alesya Yakubovich		Mariana Manyoma Vel…	64 61
21-02168	1	1	1	5	1	tg50n2		jhipof		R5		Shahar Biran		Anastasia Astakhova	64 76(6)
21-02168	1	1	1	4	1	uv4vqp		5g50n2		R4		Abigail Rencheli		Melodie Collard	63 36 [6]
21-02168	1	1	1	3	1	atpfl7		y501uf		R3		Sofiya Chekhlystova		Hibah Shaikh	61 46 [6]
21-02168	1	1	1	3	1	i6dqvs		i4262q		R3		Gabby OGorman		Mariana Manyoma Vel…	64 61
21-02168	1	1	1	3	1	ec2mm2		zba3c1		R3		Marina Alcaide		Tiffany Lagarde	61 61
21-02168	1	1	1	3	1	pouia6		31a1wv		R3		Nicole Kiefer		Danielle Alamo	62 63
21-02168	1	1	1	3	1	mc8y4q		u4lwnu		R3		Sofia Smagina		Amber ODell	64 64
21-02168	1	1	1	2	1	i6q4y8		atpfl7		R2		Georgie Axon		Sofiya Chekhlystova	75 62
21-02168	1	1	1	2	1	4q7i9g		ec2mm2		R2		Natasha Subhash		Marina Alcaide	63 26 [7]
21-02168	1	1	1	2	1	zba3c1		9e0sco		R2		Tiffany Lagarde		Amelia Rajecki	76(1) 36 [5]
21-02168	1	1	1	2	1	4ac8kc		31a1wv		R2		Julia Deming		Danielle Alamo	61 61
21-02168	1	1	1	2	1	jhipof		4ttbxn		R2		Anastasia Astakhova		Alexandra Nielsen	64 46 [6]
21-02168	1	1	1	1	1	5g50n2		r1xntf		R1		Melodie Collard		Selin Ovunc	61 64
21-02168	1	1	1	1	1	lmhibw		5gbc5q		R1		Elaine Chervinsky		Alexandra Viktorovi…	61 61
21-02168	1	1	1	1	1	atpfl7		jupqj4		R1		Sofiya Chekhlystova		Sara Nayar	64 60
21-02168	1	1	1	1	1	43rx7l		fn0jux		R1		Alesya Yakubovich		Olivia Ryan	64 63
21-02168	1	1	1	1	1	ec2mm2		9e0sco		R1		Marina Alcaide		Amelia Rajecki	75 63
21-02168	1	1	1	1	1	zdj7zv		4ac8kc		R1		Sofia Johnson		Julia Deming	64 67(2) [7]
21-02168	1	1	1	1	1	u4lwnu		tg50n2		R1		Amber ODell		Shahar Biran	63 36 [7]
21-02168	1	1	1	1	1	6ttbxn		fse6q2		R1		Madeline Meredith		Deanna Lasorda	63 61
21-02168	1	2	1	7	1	5g50n2		yc8y4q		R7		Melodie Collard		Tatsiana Sasnouskaya	06 76(4) [8]
21-02168	1	2	1	7	1	5gbc5q		i6dqvs		R7		Alexandra Viktorovi…		Gabby OGorman	46 76(8) [7]
21-02168	1	2	1	6	1	tg50n2		4ttbxn		R6		Shahar Biran		Alexandra Nielsen	62 64
21-02168	1	2	1	5	1	zoqmyq		mc8y4q		R5		Sophie Abrams		Sofia Smagina	75 61
21-02168	1	2	1	4	1	5gbc5q		6ttbxn		R4		Alexandra Viktorovi…		Madeline Meredith	61 64
21-02168	1	2	1	4	1	jhipof		fn0jux		R4		Anastasia Astakhova		Olivia Ryan	76(2) 67(5) [8]
21-02168	1	2	1	3	1	lsxwb6		4ttbxn		R3		Sofia Munera		Alexandra Nielsen	75 46 [13]
21-02168	1	2	1	2	1	yc8y4q		i6q4y8		R2		Tatsiana Sasnouskaya		Georgie Axon	62 46 [4]
21-02168	1	2	1	2	1	9e0sco		3m6keo		R2		Amelia Rajecki		Sara Ziodato	75 63
21-02168	1	2	1	1	1	uv4vqp		yc8y4q		R1		Abigail Rencheli		Tatsiana Sasnouskaya	75 63
21-02168	1	2	1	1	1	3m6keo		43rx7l		R1		Sara Ziodato		Alesya Yakubovich	57 75 [6]
21-02168	1	2	1	1	1	fn0jux		4ac8kc		R1		Olivia Ryan		Julia Deming	63 64
21-02168	1	3	1	1	1	lmhibw		i6q4y8		F		Elaine Chervinsky		Georgie Axon	76(4) 60
21-02168	1	4	1	1	1	6ttbxn		jupqj4		F		Madeline Meredith		Sara Nayar	64 64
21-02393	1	1	1	6	1	6aeoqk		wdln53		F		Karolin Kirchtag		Lois Page	67(2) 64 [6]
21-02393	1	1	1	5	1	6aeoqk		1xbj7b		SF		Karolin Kirchtag		Katy Graydon	61 06 [7]
21-02393	1	1	1	5	1	wdln53		ai36do		SF		Lois Page		Isabella Tiscornia	75 62
21-02393	1	1	1	4	1	6aeoqk		o44m8y		QF		Karolin Kirchtag		Prinkle Singh	62 63
21-02393	1	1	1	4	1	1xbj7b		nt856b		QF		Katy Graydon		AlexiAnn Drouin	61 63
21-02393	1	1	1	4	1	wdln53		ob8n6t		QF		Lois Page		Kayla Dean	76(4) 63
