---
tournaments: 115
events: 236
eventsWithDraws: 40
eventsWithoutDraws: 196
draws: 157
brackets: 460
results: 2660
---
tournamentCode	eventId	drawId	bracketId	gender	eventName	drawName	bracketName	rounds	results
21-14491	2	1	1	W	Women's Open Doubles	Draw B Doubles	MAIN	16,QF,SF,F	15
21-14491	2	1	2	W	Women's Open Doubles	Draw B Doubles	CONSOLATION	QQ,QF,SF,F	11
21-14491	2	2	1	W	Women's Open Doubles	Draw A Doubles	MAIN	32,16,QF,SF,F	31
21-14491	2	2	2	W	Women's Open Doubles	Draw A Doubles	CONSOLATION	16Q,16,QF,SF,F	23
21-14835	1			W	Women's Open Singles				
21-14835	2			W	Women's Open Doubles				
21-15310	1			W	Women's Open Singles				
21-15310	2			W	Women's Open Doubles				
21-15800	1			W	Women's Open Singles				
21-15800	2			W	Women's Open Doubles				
21-16089	1			W	Women's Open Singles				
21-16089	2			W	Women's Open Doubles				
21-17427	1			W	Women's Open Singles				
21-17427	2			W	Women's Open Doubles				
21-17543	1			M	Men's Open Singles				
21-17543	2			M	Men's Open Doubles				
21-18906	1			W	Women's Open Singles				
21-18906	2			W	Women's Open Doubles				
21-19264	1			M	Men's Open				
21-19264	2			M	Men's Open Singles				
21-19264	3			M	Men's Open Doubles				
21-20217	1			W	Women's Open Singles				
21-20217	2			W	Women's Open Doubles				
21-20374	1			M	Men's Open Singles				
21-20374	2			M	Men's Open Doubles				
21-21713	1			W	Women's Open Singles				
21-21713	2			W	Women's Open Doubles				
21-22816	1	1	1	M	Men's Open Singles	Blue	EAST	QF,SF,F	7
21-22816	1	1	2	M	Men's Open Singles	Blue	WEST	SF,F	3
21-22816	1	1	3	M	Men's Open Singles	Blue	3-4 Playoff	F	1
21-22816	1	1	4	M	Men's Open Singles	Blue	SOUTH	F	1
21-22816	1	2	1	M	Men's Open Singles	Red	EAST	QF,SF,F	7
21-22816	1	2	2	M	Men's Open Singles	Red	WEST	SF,F	3
21-22816	1	2	3	M	Men's Open Singles	Red	3-4 Playoff	F	1
21-22816	1	2	4	M	Men's Open Singles	Red	SOUTH	F	1
21-22816	1	3	1	M	Men's Open Singles	Green	EAST	QF,SF,F	7
21-22816	1	3	2	M	Men's Open Singles	Green	WEST	SF,F	3
21-22816	1	3	3	M	Men's Open Singles	Green	3-4 Playoff	F	1
21-22816	1	3	4	M	Men's Open Singles	Green	SOUTH	F	1
21-22816	1	4	1	M	Men's Open Singles	Purple	EAST	QF,SF,F	7
21-22816	1	4	2	M	Men's Open Singles	Purple	WEST	SF,F	3
21-22816	1	4	3	M	Men's Open Singles	Purple	3-4 Playoff	F	1
21-22816	1	4	4	M	Men's Open Singles	Purple	SOUTH	F	1
21-22816	1	5	1	M	Men's Open Singles	Orange	MAIN	R1,R2,R3	6
21-22816	2	1	1	W	Women's Open Singles	Blue	EAST	QF,SF,F	7
