---
season: 2021-22
division: d2
gender: women
description: composite schedule/scoreboard
updated: 2022-01-21
past: 228 (18%)
today: 3 (0%)
future: 1063 (82%)
completed: 204 (88%)
postponed: 1 (0%)
unreported: 26 (11%)
sources:
  ITA: 696
  Conferences: 598
itaIds: 699
total: 1294
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	itaId	tournament	location	facility	links
  ITA	 41796	2021-09-18	 1:00pm	W		WISE                       	at		EMHEN                      	W	7-0	 	 	d2/d3  	2021-09-18T17:00Z	7aba57cd-1203-4ea0-a936-427b38020087				
  ITA	 77669	2021-09-18	 2:00pm	W		FHS                        	vs		MESA                       	L	1-6	N	 	d2     	2021-09-18T18:00Z	70a28716-0cc9-48ac-8ddb-6ac06fb3a282				
 GLVC	132822	2021-09-18	 2:00pm	W		WJC                        	at		MOVAL                      	W	6-1	 	 	d2/naia	2021-09-18T18:00Z	                                    		Marshall, MO		[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglHIARg3QYR5%2fBgSCyuqNll341UeqqfapDZf7dLktzvL0apaalVxZhW3Nyik4i4omnFZuHv6Q%2f9S3e3a4Y3bvSNq8aQIia0P7sDm7YVQgtE%2bw%3d%3d&path=wten)
 PSAC	112107	2021-09-18	 4:00pm	W		WMNPA                      	at		CUP                        	W	5-2	 	 	d3/d2  	2021-09-18T20:00Z	                                    		California, PA		[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmxdLJOv%2fjRrK5ASrfF4FjowrVK2NYKbK3NP8MLzOoYJZBiOlTFXlewWj5haCZb3bZujraTM3msP%2fMtekMoRR2%2f&path=wten)
  ITA	 75533	2021-09-18	 5:00pm	W		MSUM                       	vs		WARTB                      	W	5-2	N	 	d2/d3  	2021-09-18T21:00Z	c4fb0fcd-d729-4619-9d4c-c6998167b086				
  ITA	  8139	2021-09-19	 1:00pm	W		ROAN                       	at		WISE                       	L	1-6	 	 	d3/d2  	2021-09-19T17:00Z	337b2230-0f0f-407a-9959-ed8516ac0d88				
 GLVC	132823	2021-09-19	 1:00pm	W		WJC                        	at		BAKER                      	W	7-0	 	 	d2/naia	2021-09-19T17:00Z	                                    		Baldwin City, KS		[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglHIARg3QYR5%2fBgSCyuqNll341UeqqfapDZf7dLktzvL0apaalVxZhW3Nyik4i4omn5599exWJZ4W1kpZt%2bSjLEOZvig3u1J1tStp%2bOwYBDuw%3d%3d&path=wten)
 GLVC	132816	2021-09-19	 3:00pm	W		TRU                        	at		SIMP                       	W	7-2	 	 	d2/d3  	2021-09-19T19:00Z	                                    		Indianola, IA		
 PSAC	112108	2021-09-21	 3:30pm	W		FMNT                       	at		CUP                        	W	6-1	 	 	d2     	2021-09-21T19:30Z	                                    		California, PA		[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmxdLJOv%2fjRrK5ASrfF4FjowrVK2NYKbK3NP8MLzOoYJUbet%2fh%2f7bjDzkW%2bC8s4NwM%2b0SOcRRVM7WsFWKu%2fdSjp&path=wten)
  ITA	 48244	2021-09-21	 4:00pm	W		BTHEL                      	at		FHS                        	L	1-6	 	 	naia/d2	2021-09-21T20:00Z	76ad4a5b-1037-455a-9ca0-846f4e39e95e				
  ITA	 35131	2021-09-22	 1:00pm	W		AIC                        	at		STON                       	L	1-5	 	C	d2     	2021-09-22T17:00Z	ec917fb1-b9d9-4864-a47d-8e0a518e348a				
  ITA	 38403	2021-09-24	11:01am	W		UDC                        	at		STAC                       	W	5-2	 	C	d2     	2021-09-24T15:01Z	64306407-d159-4ded-b336-261510cb1daa				
  ITA	 86140	2021-09-24	12:00pm	W		WSU                        	at		HIL                        	W	6-1	 	 	d2     	2021-09-24T16:00Z	7be5661e-83e9-41da-945e-c4b751755c32				
 GLVC	132815	2021-09-24	 2:00pm	W		TRU                        	at		STAMB                      	W	4-3	 	 	d2/naia	2021-09-24T18:00Z	                                    		Davenport, IA		
  ITA	  2397	2021-09-25	 9:00am	W		UDC                        	at		QUE                        	W	4-3	 	C	d2     	2021-09-25T13:00Z	3ebd1259-8f47-4366-80d0-e2521beab193				
  ITA	 32409	2021-09-25	10:00am	W		AIC                        	at		NH                         	L	0-7	 	C	d2     	2021-09-25T14:00Z	d4bd144c-74a7-4a1a-9138-25142049898d				
  ITA	 18089	2021-09-25	10:00am	W		JOHN                       	at		KWC                        	W	5-2	 	 	naia/d2	2021-09-25T14:00Z	73a03cf3-3852-4e18-9402-3a808bddcb92				
