---
season: 2021-22
division: d1
gender: men
description: schedule/scoreboard from conference websites
updated: 2022-01-20
past: 122 (6%)
today: 13 (1%)
future: 1674 (87%)
completed: 98 (73%)
postponed: 16 (12%)
cancelled: 6 (4%)
unreported: 15 (11%)
total: 1916
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
 Amrcn	 35877	2022-01-13	 4:00pm	M	  	PVA&M	at	  	SMU  	L	0-7	 	 	d1     		2022-01-13T21:00Z		   	3:00 P.M.     	Dallas, TX                                      				[Live Stats](https://smumustangs.com/sports/2017/1/12/sports-mten-live-scoring.aspx)
  Bg12	154939	2022-01-14	 7:00pm	M	 1	FLA  	at	 5	TCU  	L	3-4	 	 	d1     		2022-01-15T00:00Z		CT 	6:00 P.M.     	Fort Worth, TX                                  				
  Bg12	154878	2022-01-14	 1:00pm	M	  	ULLAF	at	 2	BAY  	P	   	 	 	d1     		2022-01-14T18:00Z		CT 	12:00 P.M.    	Waco, TX                                        				
  Bg12	154879	2022-01-14	 7:00pm	M	  	ABCHR	at	 2	BAY  	P	   	 	 	d1     		2022-01-15T00:00Z		CT 	6:00 P.M.     	Waco, TX                                        				
 C-USA	 66483	2022-01-14	All Day	M	  	UTSA 	at	 3	TEX  	L	1-6	 	 	d1     		                 		CT 	All Day       	Austin, TX                                      				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgkllctO3my4LlRPlg26I%2fE4ob46Q1f%2bkSeqbbM32YSGJPXCdD8nk489WKQFkdwLF8wIVoxcyfiYzxKWz%2b0wMRLB81o6kYzXW4Ve5cCv%2fDtXzQ%3d%3d&path=mten)
  Bg12	154966	2022-01-14	 1:00pm	M	  	UTSA 	at	 3	TEX  	L	1-6	 	 	d1     		2022-01-14T18:00Z		CT 	12:00 P.M.    	Austin, TX                                      				
 C-USA	 66244	2022-01-14	12:00pm	M	  	GWEBB	at	  	CHAR 	L	0-7	 	 	d1     		2022-01-14T17:00Z		ET 	12:00 P.M.    	Charlotte, NC                                   				[Video](https://web.track.tennis/events/watch?key=406.SnnPTODNAs8#/) [Live Stats](http://stats.statbroadcast.com/statmonitr/?id=381969) [Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmy7t1yhHxqUPOLeCYe4jWrK7J8eOaMTfB99AXmz2N486yA6prLXifMU4QwW%2fmeTXzVffwadDVmkxHb8V940PWtuAhNBwucH%2bRVKEDApV%2bS1Q%3d%3d&path=mten)
 BgSth	 94345	2022-01-14	 1:00pm	M	  	GWEBB	at	  	CHAR 	L	0-7	 	 	d1     		2022-01-14T18:00Z		ET 	1:00 P.M.     	Charlotte, NC                                   				[Video](https://web.track.tennis/events/watch?key=406.SnnPTODNAs8#/) [Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgkxH5prj6Cb14TOR82n3dIbuEylPzNzl62OOhhlpvVObGuzL2BQ0gjEm%2b%2bqv3vbTeQar42HT55sh823iigaIMzIbw2xREZj%2buQ71QPnc0M9Pg%3d%3d&path=mten)
   ACC	 76495	2022-01-14	 1:00pm	M	  	UNF  	at	  	FSU  	L	1-6	 	 	d1     		2022-01-14T18:00Z		   	1:00 P.M.     	Tallahassee, FL                                 				
  Bg12	154934	2022-01-14	 2:00pm	M	  	BRY  	at	  	OKST 	L	1-6	 	 	d1     		2022-01-14T19:00Z		CT 	1:00 P.M.     	                                                				
   Ivy	 54793	2022-01-14	 2:00pm	M	  	BUFF 	at	  	PENN 	 	   	 	 	d1     		2022-01-14T19:00Z		ET 	2:00 P.M.     	                                                				
 BgSky	 48283	2022-01-14	 2:30pm	M	  	EWU  	at	  	MONT 	L	0-7	 	 	d1     		2022-01-14T19:30Z		MT 	12:30 p.m. MT 	Missoula, MT                                    				[Live Stats](http://stats.statbroadcast.com/statmonitr/?id=382360) [Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgm6wmJ4LQbC7reb6olndNje1USc%2bArCw6U11ZVBTvJpBnEzAf8k3TeMWJqLxrrsF7TPfhBwN1taD40QAeT3sWvI&path=mten)
   SCn	106208	2022-01-14	 3:00pm	M	  	KENN 	at	  	WOF  	W	6-1	 	 	d1     		2022-01-14T20:00Z		   	3:00 P.M.     	Spartanburg, SC                                 				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgnr0LrfZa9on%2b%2fdkFoLtEdBSUPfYdr%2fPlRLqtU1b9oXA3wd8zsc4i3jDx9wEvrHXeuk6PIliqPRQerO2mOZzR%2bCnMTGLKzWNDjJYr95EO0QcA%3d%3d&path=mten)
 BgSky	 48310	2022-01-14	 4:00pm	M	  	AFA  	at	  	MTST 	L	2-5	 	 	d1     		2022-01-14T21:00Z		MT 	2:00 p.m. MT  	Bozeman, MT                                     				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgkIHE1IKaA3WBUqC93kXXY4xqnTI91ZqBQEhkjmW2d1J9Aes3CPimhaXiHmyT09JupHues%2bZFrpAJdFVonM4%2fHs&path=mten)
