---
season: 2021-22
division: naia
gender: women
description: composite schedule/scoreboard
updated: 2022-01-21
past: 136 (32%)
future: 284 (68%)
completed: 121 (89%)
unreported: 15 (11%)
sources:
  ITA: 367
  Conferences: 53
itaIds: 367
total: 420
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	itaId	tournament	location	facility	links
 ITA	54479	2021-09-25	 1:00pm	W		MARU 	at		IWES 	L	0-4	 	C	naia     	2021-09-25T17:00Z	3e55628a-dd9a-4c0a-af2b-35d673f4a615				
 ITA	35362	2021-09-25	 2:00pm	W		IUSE 	at		BTHIN	W	6-1	 	 	naia     	2021-09-25T18:00Z	fcf16598-6b01-4e2f-bb79-029cb2661a71				
 ITA	44934	2021-09-27	 4:00pm	W		HOPE 	at		SPARB	W	6-1	 	 	d3/naia  	2021-09-27T20:00Z	05ad161a-4030-4967-9c4b-66aba2a99997				
 ITA	87673	2021-09-27	 5:00pm	W		KOKOM	at		HUNTU	 	   	 	 	naia     	2021-09-27T21:00Z	0e216ce5-cb5b-4a21-a227-49602aee3d43				
 ITA	14929	2021-09-27	 5:00pm	W		VISTA	at		MORNG	L	0-7	 	 	d3/naia  	2021-09-27T21:00Z	be06ab22-628c-48a0-b6c3-ebd8c234c0d3				
 ITA	 2776	2021-09-28	 2:00pm	W		BTHIN	at		TRINE	W	6-3	 	 	naia/d3  	2021-09-28T18:00Z	84626aa2-1728-4b8f-9f2b-8d9ccc60bcff				
 ITA	34145	2021-09-28	 4:00pm	W		BTHNY	at		FHS  	 	   	 	 	naia/d2  	2021-09-28T20:00Z	9d972c95-0e2a-4220-b1ed-309b131606d2				
 ITA	70062	2021-09-29	 3:00pm	W		JOHN 	at		MARYV	W	7-2	 	 	naia/d3  	2021-09-29T19:00Z	0f69da5b-d30d-4470-a46f-90dffd2f522f				
 ITA	 4079	2021-09-29	 3:00pm	W		SHAWN	at		WITT 	W	5-2	 	 	naia/d3  	2021-09-29T19:00Z	a85b5ee4-3da8-4349-af6d-816448c65eaf				
 ITA	 7643	2021-09-29	 5:00pm	W		DOANE	at		NEWES	W	9-0	 	 	naia/d3  	2021-09-29T21:00Z	057777fd-6c64-4b21-9e46-f2d25310db92				
