---
season: 2021-22
division: d2
gender: men
description: composite schedule/scoreboard
updated: 2022-01-21
past: 102 (10%)
future: 918 (90%)
completed: 91 (89%)
postponed: 1 (1%)
unreported: 10 (10%)
sources:
  ITA: 541
  Conferences: 479
itaIds: 543
total: 1020
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	itaId	tournament	location	facility	links
 GLVC	132416	2021-09-30	 3:00pm	M		MOVAL                      	at		QU                         	W	7-0	 	 	naia/d2	2021-09-30T19:00Z	                                    		Quincy, IL		
  ITA	 58857	2021-09-30	 3:30pm	M		BENT                       	at		NIC                        	 	   	 	 	d2/d3  	2021-09-30T19:30Z	8b4256d0-9701-4fc1-aeff-1e45e097803b				
  ITA	 85013	2021-09-30	 4:00pm	M		WAYNE                      	at		FROST                      	 	   	 	 	d3/d2  	2021-09-30T20:00Z	7eb68422-840f-4805-8684-b40d4d578b7e				
  ITA	 85502	2021-10-01	 9:00am	M		GVSU                       	at		UIC                        	W	5-2	 	 	d2/d1  	2021-10-01T13:00Z	1f540dfb-a8d2-4a09-b3a9-01409fed6eca				
  ITA	 40343	2021-10-02	10:00am	M		BENT                       	vs		EMERS                      	 	   	N	 	d2/d3  	2021-10-02T14:00Z	d1ed0c80-172d-4d12-b8c0-dcd6017bd03f				
  ITA	 39631	2021-10-02	10:00am	M		CORNR                      	at		DAVEN                      	L	3-4	 	 	naia/d2	2021-10-02T14:00Z	1f148f78-1fe3-425f-a9a1-d732c95a2acd				
  ITA	  7108	2021-10-02	12:00pm	M		WISE                       	at		MARYV                      	W	7-0	 	 	d2/d3  	2021-10-02T16:00Z	625151eb-9d88-4165-b0d2-72a43630f732				
  ITA	 25664	2021-10-02	 2:00pm	M		LSSU                       	at		AQUIN                      	W	7-0	 	 	d2/naia	2021-10-02T18:00Z	10182e2c-6ac9-4181-bad2-05f714a33b2f				
  ITA	 64623	2021-10-02	 5:00pm	M		EMERS                      	at		BENT                       	 	   	 	 	d3/d2  	2021-10-02T21:00Z	ebf9253c-892f-4354-b042-17c16d94a465				
 GLVC	132365	2021-10-02	 6:00pm	M		MOVAL                      	at		MCK                        	L	1-6	 	 	naia/d2	2021-10-02T22:00Z	                                    		Belleville, IL		[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglH1EswhySf1XVk1eDUSCPL9mdVoOJIPp7I4xno0g7KrfPUSa0CXfc0E3bqOzthh9Q0ZdAzBZoUQrAw8n14YdCbYr2eBkRGlEY6pMmFwpLhsA%3d%3d&path=mten)
  ITA	 93341	2021-10-05	 3:00pm	M		WISE                       	at		SHAWN                      	W	4-3	 	 	d2/naia	2021-10-05T19:00Z	806ba666-13e3-4ad1-a73e-389196b0e0f5				
  ITA	 72410	2021-10-05	 4:30pm	M		CED                        	at		WITT                       	L	4-5	 	 	d2/d3  	2021-10-05T20:30Z	ca4ae93b-d1c3-479f-8333-55ab0cfb79f4				
 PSAC	112035	2021-10-07	 2:00pm	M		DEC                        	at		SHEP                       	W	7-0	 	 	d2     	2021-10-07T18:00Z	                                    		Shepherdstown, WV		
