---
season: d1
gender: men
description: schedule/scoreboard from team websites
updated: 2022-01-20
past: 119 (9%)
today: 12 (1%)
future: 1258 (90%)
completed: 99 (76%)
unreported: 32 (24%)
total: 1394
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	teamId	opponentId	dualId
ITA	55991	2022-01-15	 2:00pm	M	  	BOISE	at	  	ORE  	L	0-7	 	 	d1     	2022-01-15T19:00Z			3664db5c-eaca-476f-832f-8065bbf64906
ITA	80685	2022-01-15	 2:00pm	M	  	AFA  	vs	  	EWU  	W	6-1	N	 	d1     	2022-01-15T19:00Z			00ffcaa5-54bb-4b82-9662-c36c01c3e8a1
ITA	72661	2022-01-15	 2:00pm	M	  	IDST 	at	  	UTAH 	L	0-7	 	 	d1     	2022-01-15T19:00Z			723a57cf-a62f-40be-8358-2a50017fba8d
ITA	55020	2022-01-15	 2:00pm	M	  	MER  	at	  	BAMA 	L	1-6	 	 	d1     	2022-01-15T19:00Z			fcec5a26-2d08-4f34-9df6-7a088f77c482
ITA	21543	2022-01-15	 2:00pm	M	  	PUR  	at	  	SMU  	L	3-4	 	 	d1     	2022-01-15T19:00Z			178b0d28-9d1a-42f6-b909-990388ba5b8e
ITA	65878	2022-01-15	 2:30pm	M	  	UNA  	at	  	AUB  	L	1-5	 	 	d1     	2022-01-15T19:30Z			99918366-ca36-473e-9696-c23b3ec9043f
ITA	33641	2022-01-15	 2:30pm	M	  	KENN 	at	  	PRES 	L	2-5	 	 	d1     	2022-01-15T19:30Z			38755f66-607f-408c-bc12-40a943b01876
ITA	65677	2022-01-15	 5:00pm	M	  	TROY 	at	  	FGCU 	L	3-4	 	 	d1     	2022-01-15T22:00Z			448431b6-fcb1-4fef-b42e-9b296a08bd64
ITA	78543	2022-01-15	 5:00pm	M	  	OMAHA	at	  	NEB  	 	   	 	 	d1     	2022-01-15T22:00Z			2aea53a3-e747-4557-a1f7-b00d9bce9fb1
ITA	88537	2022-01-15	 5:30pm	M	  	UNA  	at	  	AUB  	L	0-5	 	 	d1     	2022-01-15T22:30Z			c5a70312-1b65-4f41-a792-78552af732fc
ITA	30223	2022-01-15	 7:00pm	M	  	SAM  	at	  	BAMA 	L	2-5	 	 	d1     	2022-01-16T00:00Z			5ecc9724-cbe0-4a66-a3de-1d5a06dc85d2
ITA	60420	2022-01-15	 7:30pm	M	  	DEP  	vs	  	ILST 	W	4-3	N	 	d1     	2022-01-16T00:30Z			4ab3e496-d5ff-4465-89f6-e2564d2ceb1b
ITA	40767	2022-01-15	 8:00pm	M	  	IDST 	at	  	UTAH 	L	1-6	 	 	d1     	2022-01-16T01:00Z			1373de29-c2f6-455e-b9f0-aedfc060a1d1
ITA	60023	2022-01-15	 8:00pm	M	  	CAL  	at	  	TULSA	W	4-3	 	 	d1     	2022-01-16T01:00Z			004a69c9-8044-436a-86dc-965f50773987
ITA	66833	2022-01-15	 8:00pm	M	  	WEBER	at	  	ORE  	L	1-6	 	 	d1     	2022-01-16T01:00Z			12ef321a-d67c-4c2c-94a0-fc78d6d0c483
ITA	61533	2022-01-15	 3:00pm	M	  	FERR 	at	  	WMU  	L	1-6	 	 	d2/d1  	2022-01-15T20:00Z			d9addd6b-9742-4055-813d-09758d01f8cf
ITA	 8282	2022-01-15	 3:30pm	M	  	NKU  	at	  	TMORE	W	7-0	 	 	d1/naia	2022-01-15T20:30Z			0e6ad91b-416a-4808-9ab4-37140a6c4526
ITA	10473	2022-01-16	 1:00pm	M	 1	FLA  	at	 3	TEX  	W	4-3	 	 	d1     	2022-01-16T18:00Z			42c14902-d326-4997-8290-61d76d7afb14
ITA	37849	2022-01-16	 1:00pm	M	 4	TENN 	at	 5	TCU  	W	4-3	 	 	d1     	2022-01-16T18:00Z			9c4c0e73-c199-48ec-b6df-4ef64e7447e2
ITA	38952	2022-01-16	 4:00pm	M	  	GCU  	at	15	ARIZ 	L	0-7	 	 	d1     	2022-01-16T21:00Z			6eb9dcd6-1500-4e5c-8484-6626ebb13c64
ITA	55328	2022-01-16	 4:00pm	M	  	VT   	at	17	MICH 	L	2-5	 	 	d1     	2022-01-16T21:00Z			92e28621-b96b-468f-8719-da7c59e72e49
ITA	25737	2022-01-16	 2:00pm	M	20	FSU  	at	  	MSST 	 	   	 	 	d1     	2022-01-16T19:00Z			15ba493f-7d3b-42bd-ac1c-4a72c14c7440
ITA	76617	2022-01-16	10:00am	M	  	UND  	at	  	CRE  	 	   	 	 	d1     	2022-01-16T15:00Z			4ee2962f-4628-4efe-9df6-51566e1efcf6
ITA	76337	2022-01-16	10:00am	M	  	DEP  	vs	  	FAU  	L	3-4	N	 	d1     	2022-01-16T15:00Z			ae5980a6-ef15-4f83-9cd6-12fea344f30a
ITA	78352	2022-01-16	11:00am	M	  	SLU  	at	  	ND   	L	0-7	 	 	d1     	2022-01-16T16:00Z			86540e6b-0b9c-44fe-a2bb-28216d4ea849
ITA	94923	2022-01-16	 1:00pm	M	  	PSU  	at	  	ODU  	L	2-5	 	 	d1     	2022-01-16T18:00Z			67fdf2f8-4bd9-4c88-acc4-f1242f0e57eb
ITA	13146	2022-01-16	 2:00pm	M	  	DEN  	at	  	RICE 	W	4-3	 	 	d1     	2022-01-16T19:00Z			a86af36a-cae2-48c7-84c9-7b2029aa5644
ITA	 3819	2022-01-16	 2:00pm	M	  	AFA  	at	  	MONT 	 	   	 	 	d1     	2022-01-16T19:00Z			9201db8a-dc0a-4ce6-a876-b49bebb6425e
ITA	82344	2022-01-16	 2:00pm	M	  	ULLAF	at	  	UTSA 	L	1-6	 	 	d1     	2022-01-16T19:00Z			a4eb85ee-815c-45e5-b839-4d45823a19d0
ITA	49898	2022-01-16	 3:30pm	M	  	SLU  	at	  	ND   	L	0-5	 	 	d1     	2022-01-16T20:30Z			0ec8b91a-1eca-4284-aed8-8095eb2bef2e
ITA	55071	2022-01-17	 1:00pm	M	 8	UGA  	at	11	UCF  	W	6-1	 	 	d1     	2022-01-17T18:00Z			cd9d46c0-eb23-465d-b9d7-8b89c7d33f62
