---
season: 2021-22
division: d3
gender: women
description: composite schedule/scoreboard
updated: 2022-01-21
past: 578 (46%)
future: 692 (54%)
completed: 524 (91%)
unreported: 54 (9%)
sources:
  ITA: 718
  Conferences: 552
itaIds: 722
total: 1270
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	itaId	tournament	location	facility	links
 Mdwst	 64534	2021-09-04	 2:00pm	W		MNM  	vs		WISTO	L	0-9	N	 	d3     	2021-09-04T18:00Z	                                    		Dubuque, IA (University of Dubuque)		[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgl1KmkTLmg%2bGMMUYFGALdGegs2kjCRRTWhYsdHarAJZ%2b4pDbcZzwgJpL9IO43T0%2bTY5XVRBqVq%2bDSRhEZuuEr0C1o3IMZ62Ke5IaBP6mad3SLGqoRIKledH7Js7EOr%2f3fM%3d&path=wten)
   ITA	 26933	2021-09-04	 2:00pm	W		PLYM 	at		HUSS 	W	6-3	 	 	d3     	2021-09-04T18:00Z	ea1fca8f-1350-4c15-ba84-3bddbd62ac5c				
   ITA	 41711	2021-09-04	 3:30pm	W		LAKEF	at		WHEAT	L	3-6	 	 	d3     	2021-09-04T19:30Z	e3d8f5bd-589d-4d00-993e-67d653180dbd				
 Mdwst	 64097	2021-09-04	 4:00pm	W		BSCWI	at		LWRNC	L	2-7	 	 	juco/d3	2021-09-04T20:00Z	                                    		Appleton, WI		
   ITA	 48526	2021-09-04	 4:00pm	W		MNKTO	at		LUTHR	L	4-5	 	 	d2/d3  	2021-09-04T20:00Z	cb77b39b-7fb4-455c-8c09-d256fb9427d8				
   ITA	 81539	2021-09-04	 4:00pm	W		MNKTO	at		LUTHR	L	3-6	 	 	d2/d3  	2021-09-04T20:00Z	fca59be6-6651-4554-88e1-86f463e69988				
   ITA	 31208	2021-09-04	 4:00pm	W		MNM  	at		DUBQ 	L	1-8	 	 	d3     	2021-09-04T20:00Z	d8ccacdb-e31c-41ee-b1b7-85eade2f4d6c				
  CCIW	 53004	2021-09-05	All Day	W		MILIK	at		TRANS	N	0-0	 	 	d3     	                 	                                    		Lexington, KY		
   ITA	 88083	2021-09-05	10:00am	W		OHION	at		ADRN 	W	6-3	 	 	d3     	2021-09-05T14:00Z	6d000c35-6a24-4db4-ab00-46f47c153a4b				
  WIAC	 48547	2021-09-05	10:30am	W		MRIAN	at		WISSP	L	0-9	 	 	naia/d3	2021-09-05T14:30Z	                                    		Stevens Point, WI		[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgnr0LrfZa9on%2b%2fdkFoLtEdBxzDbrtdBH0VMSRimwJnuYx%2fzc11DAYbqBSG3ZYP7UWAIdoxEkwtGJjQZcf6hNdPEDLDFAU635%2b2hK5n9wgfXFA%3d%3d&path=wten)
   AEC	  7482	2021-09-05	11:00am	W		RTGC 	at		IMMAC	W	9-0	 	 	d3     	2021-09-05T15:00Z	                                    		Immaculata, PA		
   ITA	 46570	2021-09-05	11:00am	W		STAMB	at		WARTB	L	0-8	 	 	naia/d3	2021-09-05T15:00Z	98eff5ff-b258-4a4d-a5fc-35896ae2f8bc				
   LEC	 42224	2021-09-05	 1:00pm	W		CASTL	at		SAGE 	W	5-4	 	 	d3     	2021-09-05T17:00Z	                                    		Albany, NY		[Box Score](/boxscore.aspx?id=295Hu3vOPHiveuFhd0fnwcInCFdg%2bXaLuzQk0Rpbv8advmZMA4y0SIglAN030dktM9B0zj2uREjP1OK%2bd0NxE5g4b7Snbs9MPTMmv7go1nvOY6l0gqDOrBJyba7pt3rU&path=wten)
   ITA	  2302	2021-09-05	 2:00pm	W		MANC 	vs		OHION	L	0-9	N	 	d3     	2021-09-05T18:00Z	44baf626-0d83-4f08-b641-d8beb5ea428e				
  WIAC	 48548	2021-09-05	 3:30pm	W		WILUT	at		WISSP	L	1-8	 	 	d3     	2021-09-05T19:30Z	                                    		Stevens Point, WI		[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgnr0LrfZa9on%2b%2fdkFoLtEdBxzDbrtdBH0VMSRimwJnuYx%2fzc11DAYbqBSG3ZYP7UWDQkpNSue4PUiaxUaQXCD11ixU7JPf1OPv6SXtGo13GdQ%3d%3d&path=wten)
   ITA	 66831	2021-09-05	 5:00pm	W		MNKTO	at		WARTB	W	9-0	 	 	d2/d3  	2021-09-05T21:00Z	cbf907b7-f15d-4281-b401-b59c65625675				
