---
division: d1
gender: M
matches: 1120
version: 2
---
dateET	timeET	rank	team	at	oppRank	opponent	outcome	score	location	conference	gender	division	teamId	opponentId	dualId	date
2022-01-16	 4:00pm	  	VT   	at	17	MICH 	 	   	A	 	M	d1     				2022-01-16T21:00:00.000Z
2022-01-16	10:00am	  	UND  	at	  	CRE  	 	   	A	 	M	d1     				2022-01-16T15:00:00.000Z
2022-01-16	11:00am	  	SLU  	at	  	ND   	 	   	A	 	M	d1     				2022-01-16T16:00:00.000Z
2022-01-16	 1:00pm	  	PSU  	at	  	ODU  	 	   	A	 	M	d1     				2022-01-16T18:00:00.000Z
2022-01-16	 2:00pm	  	DEN  	at	  	RICE 	 	   	A	 	M	d1     				2022-01-16T19:00:00.000Z
2022-01-16	 2:00pm	  	AFA  	at	  	MONT 	 	   	A	 	M	d1     				2022-01-16T19:00:00.000Z
2022-01-16	 2:00pm	  	ULLAF	at	  	UTSA 	 	   	A	 	M	d1     				2022-01-16T19:00:00.000Z
2022-01-16	 3:30pm	  	SLU  	at	  	ND   	 	   	A	 	M	d1     				2022-01-16T20:30:00.000Z
2022-01-17	 5:00pm	  	SMU  	at	 2	BAY  	 	   	A	 	M	d1     				2022-01-17T22:00:00.000Z
2022-01-17	 1:00pm	 8	UGA  	at	11	UCF  	 	   	A	 	M	d1     				2022-01-17T18:00:00.000Z
2022-01-17	 1:00pm	  	PUR  	at	24	OKLA 	 	   	A	 	M	d1     				2022-01-17T18:00:00.000Z
2022-01-17	11:00am	  	NW   	at	  	NCST 	 	   	A	 	M	d1     				2022-01-17T16:00:00.000Z
2022-01-17	 2:00pm	  	BOISE	at	  	WASH 	 	   	A	 	M	d1     				2022-01-17T19:00:00.000Z
2022-01-17	 2:00pm	  	OKST 	at	  	ARK  	 	   	A	 	M	d1     				2022-01-17T19:00:00.000Z
2022-01-17	 3:00pm	  	PRST 	at	  	ORE  	 	   	A	 	M	d1     				2022-01-17T20:00:00.000Z
2022-01-17	 4:00pm	  	PRES 	at	  	NCST 	 	   	A	 	M	d1     				2022-01-17T21:00:00.000Z
2022-01-17	 4:00pm	  	CAL  	at	  	TULN 	 	   	A	 	M	d1     				2022-01-17T21:00:00.000Z
2022-01-17	 8:00pm	  	PRST 	at	  	ORE  	 	   	A	 	M	d1     				2022-01-18T01:00:00.000Z
2022-01-18	 5:00pm	  	BC   	at	21	HARV 	 	   	A	 	M	d1     				2022-01-18T22:00:00.000Z
2022-01-19	 3:00pm	19	A&M  	at	  	AZST 	 	   	A	 	M	d1     				2022-01-19T20:00:00.000Z
2022-01-19	 5:00pm	  	WMU  	at	  	ND   	 	   	A	 	M	d1     				2022-01-19T22:00:00.000Z
2022-01-20	 6:00pm	 2	BAY  	at	  	NEB  	 	   	A	 	M	d1     				2022-01-20T23:00:00.000Z
2022-01-20	12:00pm	  	LIB  	at	 7	UVA  	 	   	A	 	M	d1     				2022-01-20T17:00:00.000Z
2022-01-20	 5:00pm	  	RICH 	at	 7	UVA  	 	   	A	 	M	d1     				2022-01-20T22:00:00.000Z
2022-01-20	12:00pm	  	PRIN 	at	  	NCST 	 	   	A	 	M	d1     				2022-01-20T17:00:00.000Z
2022-01-20	 1:00pm	  	NW   	at	  	VANDY	 	   	A	 	M	d1     				2022-01-20T18:00:00.000Z
2022-01-20	 5:00pm	  	QUIN 	at	  	BROWN	 	   	A	 	M	d1     				2022-01-20T22:00:00.000Z
2022-01-20	 5:00pm	  	CAMP 	at	  	NCST 	 	   	A	 	M	d1     				2022-01-20T22:00:00.000Z
2022-01-20	 2:00pm	  	JVST 	at	  	LEE  	 	   	A	 	M	d1/d2  				2022-01-20T19:00:00.000Z
2022-01-21	 4:00pm	 3	TEX  	at	15	ARIZ 	 	   	A	 	M	d1     				2022-01-21T21:00:00.000Z
2022-01-21	 1:00pm	  	UCD  	at	 9	USC  	 	   	A	 	M	d1     				2022-01-21T18:00:00.000Z
2022-01-21	 5:00pm	 9	CMS  	at	  	USC  	 	   	A	 	M	d3/d1  				2022-01-21T22:00:00.000Z
2022-01-21	 9:00am	  	PRES 	at	13	SCAR 	 	   	A	 	M	d1     				2022-01-21T14:00:00.000Z
2022-01-21	 4:00pm	  	CIT  	at	13	SCAR 	 	   	A	 	M	d1     				2022-01-21T21:00:00.000Z
2022-01-21	 6:00pm	  	WMU  	at	17	MICH 	 	   	A	 	M	d1     				2022-01-21T23:00:00.000Z
2022-01-21	 7:00pm	  	OKST 	at	18	MISS 	 	   	A	 	M	d1     				2022-01-22T00:00:00.000Z
2022-01-21	 7:00pm	  	OKST 	at	18	MISS 	 	   	A	 	M	d1     				2022-01-22T00:00:00.000Z
2022-01-21	 4:00pm	21	HARV 	at	  	VT   	 	   	A	 	M	d1     				2022-01-21T21:00:00.000Z
2022-01-21	11:00am	  	JVST 	at	  	CHAT 	 	   	A	 	M	d1     				2022-01-21T16:00:00.000Z
2022-01-21	12:00pm	  	CIT  	vs	  	PRES 	 	   	N	 	M	d1     				2022-01-21T17:00:00.000Z
2022-01-21	 1:00pm	  	FGCU 	at	  	MIA  	 	   	A	 	M	d1     				2022-01-21T18:00:00.000Z
2022-01-21	 3:30pm	  	SF   	at	  	CPOLY	 	   	A	 	M	d1     				2022-01-21T20:30:00.000Z
2022-01-21	 5:00pm	  	BUCK 	at	  	JMU  	 	   	A	 	M	d1     				2022-01-21T22:00:00.000Z
2022-01-21	 5:00pm	  	SALA 	vs	  	STET 	 	   	N	 	M	d1     				2022-01-21T22:00:00.000Z
2022-01-21	 5:00pm	  	UCI  	at	  	USD  	 	   	A	 	M	d1     				2022-01-21T22:00:00.000Z
2022-01-21	 6:00pm	  	SBU  	at	  	LOY  	 	   	A	 	M	d1     				2022-01-21T23:00:00.000Z
2022-01-21	 6:30pm	  	CRE  	at	  	AFA  	 	   	A	 	M	d1     				2022-01-21T23:30:00.000Z
2022-01-21	 6:30pm	  	UND  	at	  	WIS  	 	   	A	 	M	d1     				2022-01-21T23:30:00.000Z
2022-01-21	 8:00pm	  	UTAH 	at	  	DEN  	 	   	A	 	M	d1     				2022-01-22T01:00:00.000Z
2022-01-22	12:30pm	11	UCF  	at	 1	FLA  	 	   	A	 	M	d1     				2022-01-22T17:30:00.000Z
2022-01-22	12:00pm	 6	OSU  	at	23	ILL  	 	   	A	 	M	d1     				2022-01-22T17:00:00.000Z
2022-01-22	 2:30pm	12	UK   	at	  	NKU  	 	   	A	 	M	d1     				2022-01-22T19:30:00.000Z
2022-01-22	 6:00pm	12	UK   	at	  	NKU  	 	   	A	 	M	d1     				2022-01-22T23:00:00.000Z
2022-01-22	 1:00pm	  	ABCHR	at	24	OKLA 	 	   	A	 	M	d1     				2022-01-22T18:00:00.000Z
